premise,hypothesis,gpt_reply
"ดี, ฉันไม่ได้คิดอะไรเกี่ยวกับเรื่องนี้, แต่ฉันก็ผิดหวัง, และ, ฉันก็กลับไปคุยกับเขาอีกครั้ง",ฉันไม่ได้คุยกับเขาอีกเลย,"contradiction
"
"ดี, ฉันไม่ได้คิดอะไรเกี่ยวกับเรื่องนี้, แต่ฉันก็ผิดหวัง, และ, ฉันก็กลับไปคุยกับเขาอีกครั้ง",ฉันรู้สึกเเย่มากที่ฉันกำลังเริ่มที่จะคุยกับเขาอีกเเล้ว,"entailment
"
"ดี, ฉันไม่ได้คิดอะไรเกี่ยวกับเรื่องนี้, แต่ฉันก็ผิดหวัง, และ, ฉันก็กลับไปคุยกับเขาอีกครั้ง",พวกเราคุยกันได้ถูกคอจริงๆ,"neutral
"
พวกเขาบอกฉันว่าเขาจะเรียกคน ๆ หนึ่งเข้ามาในตอนท้ายให้ฉันพบ,ฉันไม่เคยพูดเรื่องประชุมกับใคร,"neutral
"
พวกเขาบอกฉันว่าเขาจะเรียกคน ๆ หนึ่งเข้ามาในตอนท้ายให้ฉันพบ,ฉันได้รับข้อมูลมาว่าเขาจะมาที่นี้เพื่อพบฉัน,"neutral
"
พวกเขาบอกฉันว่าเขาจะเรียกคน ๆ หนึ่งเข้ามาในตอนท้ายให้ฉันพบ,เขามาช้านิดหน่อย,"neutral
"
มันมีอีกมากที่คุณสามารถพูดคุยเกี่ยวกับสิ่งนั้น ฉันจะข้ามไปละกัน,ฉันต้องการจะบอกคุณทุกอย่างที่ฉันรู้เกี่ยวกับเรื่องนี้!,"contradiction
"
มันมีอีกมากที่คุณสามารถพูดคุยเกี่ยวกับสิ่งนั้น ฉันจะข้ามไปละกัน,ฉันจะไม่พูดถึงมัน ถึงแม้ว่ามันจะมีอะไรมากมายที่ต้องปิดบัง,"neutral
"
มันมีอีกมากที่คุณสามารถพูดคุยเกี่ยวกับสิ่งนั้น ฉันจะข้ามไปละกัน,ฉันจะไม่พูดถึงเกี่ยวกับประวัติของเมื่อง เพราะว่ามันเยอะเกินไป,"entailment
"
ฉันก็เลยไม่แน่ใจจริงๆ ว่าทำไม,ฉันมั่นใจถึงเหตุผล,"contradiction
"
ฉันก็เลยไม่แน่ใจจริงๆ ว่าทำไม,ฉันไม่รู้ว่าเขาย้ายโรงเรียนทำไหม,"neutral
"
ฉันก็เลยไม่แน่ใจจริงๆ ว่าทำไม,ฉันไม่เข้าใจว่าทำไหมมันถึงเกิดขึ้น,"entailment
"
ฉันเป็นเพียงคนเดียวที่เอ่อ เรียกใช้หน่วยควบคุมสำหรับการทดสอบในหอสูงขนาดเล็ก,ฉันไม่อยากเป็นเเค่คนเดียวที่ดำเนินนโยบายกับการควบคุมข้อสอบ,"entailment
"
ฉันเป็นเพียงคนเดียวที่เอ่อ เรียกใช้หน่วยควบคุมสำหรับการทดสอบในหอสูงขนาดเล็ก,ข้อสอบถูกจัดทำในห้องประชุมขนาดเล็ก,"neutral
"
ฉันเป็นเพียงคนเดียวที่เอ่อ เรียกใช้หน่วยควบคุมสำหรับการทดสอบในหอสูงขนาดเล็ก,มีพวกเราไม่กี่คนที่ดำเนินนโยบายกับการควบคุมข้อสอบ,"neutral
"
ผมมียศเป็นพันจ่าอากาศเอก ตอนนี้เกษียณแล้ว ตามที่ริคบอกนั่นแหละ,ฉันก็ยังคงทำงานอยู่ทุกๆวันนี้,"neutral
"
