premise,hypothesis,gpt_reply
"मी त्याबद्दल विचारही केला नव्हता, पण मी खूप निराश झालो होतो, आणि शेवटी मी त्याच्याशी पुन्हा बोललो.",मी अजून त्याच्याशी बोललो नाही.,"contradiction
"
"मी त्याबद्दल विचारही केला नव्हता, पण मी खूप निराश झालो होतो, आणि शेवटी मी त्याच्याशी पुन्हा बोललो.",मला इतका राग आला की मी त्याच्याशी पुन्हा बोलू लागलो.,"contradiction
"
"मी त्याबद्दल विचारही केला नव्हता, पण मी खूप निराश झालो होतो, आणि शेवटी मी त्याच्याशी पुन्हा बोललो.",आम्ही खूप गप्पा मारल्या.,"neutral
"
"त्यांनी मला सांगितलं, की शेवटी मला एका माणसामध्ये बोलावण्यात येईल.",कोणालाही भेटण्याबाबत मला काहीही सांगण्यात आलेले नाही.,"contradiction
"
"त्यांनी मला सांगितलं, की शेवटी मला एका माणसामध्ये बोलावण्यात येईल.","मला सांगण्यात आले की, मला भेटण्यासाठी एका व्यक्तीला बोलावण्यात येईल.","entailment
"
"त्यांनी मला सांगितलं, की शेवटी मला एका माणसामध्ये बोलावण्यात येईल.",त्या माणसाला थोडा उशीर झाला.,"neutral
"
यावर इतके काही बोलता येईल की मी ते टाळेन.,मला त्याबद्दल जे काही माहीत आहे ते तुम्हाला सांगायचं आहे!,"neutral
"
यावर इतके काही बोलता येईल की मी ते टाळेन.,"मी त्याबद्दल बोलणार नाही, जरी बरेच काही झाकणे बाकी आहे.","entailment
"
यावर इतके काही बोलता येईल की मी ते टाळेन.,मी शहराच्या इतिहासाविषयी बोलणार नाही कारण सांगण्यासारखं खूप काही आहे.,"entailment
"
त्यामुळे नक्की काय कारण असावे हे मला कळत नाही.,यामागचे कारण मला ठाऊक आहे.,"contradiction
"
त्यामुळे नक्की काय कारण असावे हे मला कळत नाही.,त्यांनी शाळा का बदली केली हे मला माहीत नाही.,"neutral
"
त्यामुळे नक्की काय कारण असावे हे मला कळत नाही.,असे का झाले ते कळत नाही.,"entailment
"
