question,gpt_answer
کدام یک از موارد زیر علیرغم وجود نشانه‌های خارجی ادامه پیدا خواهد کرد؟,3
کدام واژه افرادی را توصیف می‌کند که چندین نوع از خصوصیت فنوتیپی خاصی را نشان می‌دهند؟,4
کدام مورد اصطلاح صحیح برای ارگانیسم‌هایی است که فضای خاصی را اشغال می‌کنند؟,2
کدام یک از موارد زیر مثالی از گردشگری طبیعت‌دوست نیست؟,3
با توجه به متن، کدام یک از موارد زیر مبنای سیستم حمل‌ونقل است؟,2
ذراتی که به دور هسته می‌چرخند، چه نوع باری دارند؟,3
هسته از کدام ذرات تشکیل شده است؟,1
با توجه به متن، کدام یک از موارد زیر مثالی از عدد دودویی پنج بیتی است؟,3
ارقام دودویی همچنین با چه عنوانی معرفی می‌شوند؟,1
کدام‌ یک از موارد زیر به عنوان مزیت اصلی وبلاگ‌نویسی دانش‌آموزان در متن معرفی نشده است؟,2
کدام یک از جنبه‌های وبلاگ‌نویسی به عنوان انگیزه‌ای برای بهبود مهارت نویسندگی دانش‌آموزان مطرح شده است؟,2
کدام مورد از مزایای ارتباط ناهمزمان برای دانش‌آموزان نیست؟ ,2
با توجه به متن، کدام جنبه از ارتباطات ناهمزمان برای دانش‌آموزان انعطاف‌پذیر نیست؟,4
کدام مورد به عنوان چیزی که می‌تواند با قلعه‌های قرون وسطایی مرتبط باشد، در متن ذکر نشده است؟,4
کدام مورد به عنوان بو یا صدایی که می‌تواند در میان خرابه‌های قلعه به ذهن متبادر شود، مطرح نشده است؟,3
کدام مورد توصیف دقیقی از قلعه Kirby Muxloe نیست؟,4
کدام یک از ویژگی‌های ساخت‌وساز برای قلعه Kirby Muxloe در طول دوره زمانی توصیف‌شده در متن غیرعادی در نظر گرفته می‌شد؟,1
با توجه به متن،‌ کدام مورد برای دونده‌ای که برای فصل آینده آماده می‌شود سودمندتر است؟,4
با توجه به متن، کدام مورد زیر برای دونده درجه یک نیم مایل از اهمیت بالایی برخوردار است؟,2
کدام یک از موارد زیر برای یک ورزشکار به تنهایی از طریق شیوه‌های تغذیه‌ای قابل دستیابی نیست؟,3
با توجه به متن، کدام مورد زیر به عنوان راهی برای لذت بردن بیشتر ورزشکاران جوان از ورزششان پیشنهاد نمی‌شود؟,2
