question,gpt_answer
Khargosh kon dhoroner shikarir jonyo sadharon shikar?,3
Tulonamulok chhoto biaalra sadharonoto nicher konti shikar kore?,1
Nicher konti oceloto’er shikar poddhotir ongsho noy?,4
Nicher konti ekti oceloto ke sothikbhabe bornona kore na? ,3
Nicher konti ekti bagher borho shokti hisebe bibechito hobe na?,1
"Onucchhed onujaayi, bagh o shingher modhye parthokyo konti?",2
"Onucchhed onujaayi, Onyanyo jibobigganir age Robbert Hooke ki korechhilen?",3
“Kosh” shobdotir utpottigoto ortho ki?,2
"Onucchhed onujaayi, Odhikangsho pranir konti korar khomota royechhe?",2
"Onucchhed onujaayi, Kichhu pranir konti thake na?",3
Konti udbhidke saloksangshleshe sahajyo kore?,4
Manooser tyag kora kon jinishti udbhid grohon kore?,4
"Onucchhed onujaayi, nicher kon udahoronti bibortaner prokriyake badha day?",1
Nicher kon bakyoti projatyayon (speshiyeshana) prokriyake nirbhulbhabe bornona kore na? ,1
Songbohontontrer kon ongshoti roktoke hritpinder dike niye jay?,1
Songbohontontrer sobcheye chhoto noli konti?,1
Kono potonger pakhar saathe shorirer pechoner ongsho khomota nicher konti briddhi kore?,2
Nicher kontike Onucchhede pokar ory khomota dwara akranto hoyechhe emon kichhu hisebe ullekh kora hoyni?,2
Nicher kon boishishtyoti sadharonoto dinosaur er sathe somporkito noy?,2
Nicher konti sadharonoto pakhi o dinosaurer modhyekar eki boishishtyo hisebe bibechito hoy na?,3
"Onucchhed onujaayi, cycad udbhider kon ongshoti Triceratops khete pochhondo kore?",1
"Onucchhed onujaayi, Triceratops nicher konti khete shobcheye pochhondo korbe? ",2
"Onucchhed onujaayi, Nicher kon khelati Italir sobcheye uttorer onchole byapok jonopriyo chhilo bole mone kora hoy?",1
"Onucchhede prodotto tothyer bhittite, nicher kon khelay Itali bishwakup joy korechhilo?",1
Kon ghotonar pore luxemberger nirdishto ongshoguli Belgian hoye jay?,2
Nicher konti luxemberger niropekkhotay probhab phelechhilo?,1
Turosker mot anchaler koto borgo kilometer Europea porhechhe?,1
Onucchhed onujaayie Turoshko koto mail deergho?,1
Vatican sitir kothay Latin bhasha byabohrito hoy?,1
"Vatican City-te, Italian bhasha kisher jonyo byabohrito hoy?",1
"Onucchhed onujaayi, otyadhunik computer e shobdo mishron theke nicher kon subidhati pawa jay?",1
"Onucchhed onujaayi, nicher kon sthaaner barite flusher subidha jukto toilet chhilo?",1
Nicher kon onchole unnoto nikashi byabostha pawa giyechhilo?,1
Nicher kontir karone skater ghure jay?,1
"Onucchhed onujaayi, nicher konti ekti adhunik ice skater foloker funke nibhulbhabe bornona kore?",3
"Onucchhed onujaayi, kon prokriyati paramanuke alok theke otirikto shakti mukto korar sujog day?",4
Paramanu kiser karone photon nirgomon kore?,2
"Onucchhed onujaayi, nicher konti dhire dhire light bulber kaj kora bondho kore debe?",3
Light bulb protisthaponer somoy nicher konti sporsho korle bipoder sombhabona thake?,1
"Onucchhed onujaayi, kono nucleus bhenge gele ki ghote?",2
Nicher konti lomba durotwer call ke prithibite protipholito kore pherot pathay,2
Nicher konti mohashunye telescope rakhte byabohrito hoy?,2
Somoyer otibahito howa track korar jonyo ekti chakrakar ghotonar byapare konti lokkhyo rakhte hobe?,2
"Onucchhed onujaayi, Kono ghotonar kon dikti tulona korar jonyo somoy byabohrito hoy?",1
"Onucchhed onujaayi, Singhasaner uttoradhikarir jonyo nicher konti adorsho hisebe bibechito hoy?",4
"Onucchhede prodotto tothyo onujaayi, Charles sorboprothom hisebe konti koren?",3
Trigovason’er nowbohor kon desher chhilo?,4
Itihaser kon somoye germany estoniar upore shoktishali sangoskritik probhab proyog korechhilo?,3
Estonian Bhasha konti dwara probhabito hoyechhilo?,2
"Onucchhed onujaayi, hindi bhashider songkhya kon bishoyer upore bhitti kore othanama kore?",1
Nicher konti Hindi o Urdu bhasha somporke satyo bornona day?,2
Nicher konti Hangul bornomala somporke satyo tothyo noy?,3
Hunmin jiongnam bornomala dhire dhire kishe poribortito hoyechhe?,2
"Onucchhed onujaayi, kon bhashaguli sangaskrita dwara probhabito hoyechhe?",4
"Onucchhed onujaayi, sangaskritar byabohar kontir karone bileen hoyechhe?",4
Onucchhed onujaayie Nicher konti Io-er mohakorsho somporke ekti nirbhul bornona day na?,3
"Onucchhed onujaayi, Nicher kon bakyoti chander berer star somporke nirbhul byakhya day?",4
"Onucchhed onujaayi, chander bhuttok kothay sobcheye puru?",2
