question,gpt_answer
"Kur plaukė laivas, kai įvyko incidentas? ",3
Kuris faktas apie ištraukoje minimą laivą nėra teisingas?,2
Kas padarė pareiškimą dėl JAV karių?,1
"Remiantis ištrauka, kuri šalis prisiėmė atsakomybę saugoti suimtus kovotojus?",4
"Kokia, manoma, buvo avarijos priežastis?",2
Kokioje vietovėje įvyko avarija?,4
Ko pareigūnai tikisi iš potvynio?,1
Kurį iš šių dalykų užtvankos statyba paveikė visam laikui?,4
"Remiantis ištrauka, kas Jungtinėms Valstijoms suteikė žvalgybos informacijos apie galimus sprogdinimus?",3
Kuris iš šių teiginių tiksliai apibūdina įtariamo ekstremistų išpuolio planą?,3
Kuris iš šių žmonių nėra advokatas?,4
Kuri žmonių grupė neminima kaip dalyvavusi Graikijos teisinės bendruomenės skandale?,3
Kiek vartų pralaimėjo Indija?,2
"Remiantis ištrauka, koks buvo didžiausias iningų rezultatas?",1
Kuris iš šių dalykų nėra Adamo Cuerdeno nepasitenkinimo priežastis?,1
"Remiantis ištrauka, kas buvo pašalinta iš svetainės?",1
"Remiantis ištrauka, kurio iš šių dalykų Amiras Kanas nepalaiko?",1
"Remiantis ištrauka, ką Amiras Kanas rems, nepaisydamas savo nuomonės?",3
Kada mirė Peteris Lenzas?,4
Kas yra Xavieras Zayatas?,2
"Kurioje situacijoje nerimastingam keleiviui būtų naudinga žinoti, kaip veikia orlaivis?",2
"Remiantis ištrauka, kurį iš šių veiksmų keliautojas, kuriam svarbi kaina, turėtų atlikti paskutinį?",4
"Remiantis ištrauka, ką pirmiausia turėtų padaryti keliautojai, norėdami užsitikrinti geriausias skrydžių kainas?",2
Kada lydintysis asmuo turi lydėti siuntą?,3
"Remiantis ištrauka, rinkdamiesi dažnai skraidančių keleivių programą siūlančią oro linijų bendrovę, priklausančią oro linijų aljansui, kam turėtumėte teikti pirmenybę?",4
"Remiantis ištrauka, kas gali pasiūlyti daugiau skridimo taškų?",4
