question,gpt_answer
"ವಾಕ್ಯವೃಂದದ ಪ್ರಕಾರ, ಅಕಾರ್ಡಿಯನ್ ಅನ್ನು ಯಶಸ್ವಿಯಾಗಿ ನುಡಿಸಲು ನಿಖರವಾದ ಸೂಚನೆ ಎಂದು ಯಾವುದನ್ನು ಪರಿಗಣಿಸಲಾಗುವುದಿಲ್ಲ?",1
"ಅಕಾರ್ಡಿಯನ್ ಅನ್ನು ನುಡಿಸುವಾಗ, ಕೆಳಗಿನವುಗಳಲ್ಲಿ ಯಾವುದು ಧ್ವನಿಯನ್ನು ಹೆಚ್ಚಿಸಲು ಸಹಾಯ ಮಾಡುತ್ತದೆ?",1
ದೂರದರ್ಶನದಲ್ಲಿರುವ ಚಿತ್ರಗಳ ಅಂಚುಗಳನ್ನು ಏಕೆ ಕತ್ತರಿಸಲಾಗಿದೆ ?,2
"ವಾಕ್ಯವೃಂದದ ಪ್ರಕಾರ, ಚಲನಚಿತ್ರವನ್ನು ಡಿವಿಡಿ ಸ್ವರೂಪಕ್ಕೆ ಪರಿವರ್ತಿಸುವಾಗ ಕೆಳಗಿನ ಯಾವ ಸಮಸ್ಯೆಗಳನ್ನು ಒಬ್ಬರು ಎದುರಿಸಬಹುದು?",2
ಬ್ರಿಟಿಷ್ ಗ್ಯಾರಿಸನ್ ಎಲ್ಲಿದೆ?,3
ಕೈಬರಹದ ಕರಡು ಪ್ರತಿಯಲ್ಲಿ ಯಾರ ಸಹಿಯು ಕಾಣಿಸಿಕೊಂಡಿತ್ತು?,4
"ಈ ಕೆಳಗಿನ ಸ್ಥಳಗಳಲ್ಲಿ, ಡನ್‌ಲ್ಯಾಪ್ ಬ್ರಾಡ್‌ಸೈಡ್ ಕೊನೆಯದಾಗಿ ಎಲ್ಲಿಗೆ ತಲುಪಿತು?",3
ಕರ್ನಲ್ ಸ್ಟಾರ್ಕ್ ಪಡೆಗಳು ಎಲ್ಲಿ ನೆಲೆಗೊಂಡಿದ್ದವು?,1
"ವಾಕ್ಯವೃಂದದ ಪ್ರಕಾರ, ಸ್ಟಾರ್ಕ್‌ ನ ಪುರುಷರು ತಮ್ಮ ಬೇಲಿಯನ್ನು ಯಾವಾಗ ವಿಸ್ತರಿಸಿದರು?",3
"ವಾಕ್ಯವೃಂದದ ಪ್ರಕಾರ, ಕೆಳಗಿನವುಗಳಲ್ಲಿ ಯಾವುದು ಚೀನಾದ ಅತ್ಯಂತ ಹಿಂಸಾತ್ಮಕ ಯುಗಗಳಲ್ಲಿ ಒಂದಾಗಿತ್ತು?",4
"ವಾಕ್ಯವೃಂದದ ಪ್ರಕಾರ, ಇರುವೆಗಳ ಸೈನ್ಯದ ಕೂಟವು ಅಲೆಮಾರಿ ಹಂತವನ್ನು ಪ್ರವೇಶಿಸುವುದರಲ್ಲಿ ನಿಜವೇನು?",2
"ವಾಕ್ಯವೃಂದದ ಪ್ರಕಾರ, ಯಾವ ಹೇಳಿಕೆಯು ಅಲೆಮಾರಿ ಹಂತದಲ್ಲಿರುವ ಇರುವೆಗಳ ಸೇನೆಯ ಕೂಟದ ಗೂಡುಕಟ್ಟುವ ಅಭ್ಯಾಸವನ್ನು ನಿಖರವಾಗಿ ಪ್ರತಿಬಿಂಬಿಸುತ್ತದೆ?",3
ಬಾಹ್ಯ ಸೂಚನೆಗಳ ಉಪಸ್ಥಿತಿಯ ಹೊರತಾಗಿಯೂ ಈ ಕೆಳಗಿನವುಗಳಲ್ಲಿ ಯಾವುದು ಮುಂದುವರಿಯುತ್ತದೆ?,2
ನಿರ್ದಿಷ್ಟ ಫಿನೋಟೈಪಿಕ್ ಗುಣಲಕ್ಷಣದ ವ್ಯತ್ಯಾಸಗಳನ್ನು ತೋರಿಸುವ ವ್ಯಕ್ತಿಗಳನ್ನು ಯಾವ ಪದವು ವಿವರಿಸುತ್ತದೆ?,4
ಕೆಳಗಿನವುಗಳಲ್ಲಿ ಯಾವುದು ನಿರ್ದಿಷ್ಟ ಪ್ರದೇಶವನ್ನು ಆಕ್ರಮಿಸುವ ಜೀವಿಗಳಿಗೆ ಸರಿಯಾದ ಪದವಾಗಿದೆ?,2
ಕೆಳಗಿನವುಗಳಲ್ಲಿ ಯಾವುದು ಪ್ರಕೃತಿ ಆಧಾರಿತ ಪ್ರವಾಸೋದ್ಯಮ ಚಟುವಟಿಕೆಗೆ ಉದಾಹರಣೆಯಾಗಿರುವುದಿಲ್ಲ?,3
