question,gpt_answer
Welke uitspraak over de gasten van het hostel is onjuist?,4
Welke uitspraak is waar volgens de tekst?,3
Welke informatie over de botsing is volgens de tekst onzeker?,1
Wat moet er volgens de tekst nog worden achterhaald over de botsing?,4
Op welke plek stond Batten ooit op de lijst met rijkste Amerikanen?,3
Waar doneerde Batten geld aan?,2
Wat maakt geen deel uit van het wetsvoorstel dat door gouverneur Arnold Schwarzenegger is ondertekend?,3
Wie hoorde(n) niet wat er werd gezegd?,3
Welke uitspraak over Millers ervaring tijdens de hoorzitting is volgens de tekst juist?,2
Wie stelde voor om de 'Clean Air Act' te herschrijven?,3
We beweerde dat de 'Clean Air Act' werd gebruikt als verkiezingsstunt?,4
Wat vormden de verbindingen cyanuurzuur en melamine nadat ze met elkaar reageerden in kattenurine?,3
Wat hebben onderzoekers waargenomen met behulp van infraroodspectroscopie?,2
Wie noemde Luna de 'Queen of Extreme'?,4
Wie noemde Luna 'raar'?,2
Wat is er niet gebeurd met de bestuurder die betrokken was bij de botsing?,3
Wat was niet opvallend aan het spel van Zuid-Afrika tijdens het rugbytoernooi?,3
Wanneer begon het spel van Zuid-Afrika volgens de tekst beter te worden?,4
Welke uitspraak is volgens de tekst geen juiste weergave van de economie van China?,4
Wanneer kan het BNP van China groter zijn dan van de Verenigde Staten?,2
Wat is het voorstel van Hu voor ontwikkelingslanden?,4
Wat werd door Hu niet genoemd?,4
Waar is de situatie volgens Veerman niet goed?,2
Wie vervangt Huhne in het kabinet vanwege de vervolging?,1
Wie neemt de taken als minister van Handel over vanwege de vervolging?,1
Wat stimuleren de performers het publiek om te doen tijdens de opera van Camille Saint-Saens?,1
Wie rookt/roken er vooral joints tijdens de opera?,3
Wat is een andere naam voor de 'ruimtewandeling' door Leonov?,3
Van welke missie leidde Leonov het deel van de Sovjet-Unie?,2
Wie is er gewond geraakt bij het ongeval?,1
Wat is er gebeurd met de mensen die betrokken waren bij het ongeval?,2
Waarvan wilden de wetenschappers die aan het programma werkten de effecten zien?,2
Waarvan namen de wetenschappers materie waar?,4
Wat wordt er volgens de tekst niet bekritiseerd door conservatieven?,2
Wie had er kritiek op de reconstructiecontracten na de orkaan Katrina?,2
Waar zal het licht van de Stardust-capsule volgens de tekst het eerst te zien zijn?,2
Welk record zal volgens de tekst door het ruimtevaartuig worden gevestigd?,3
Wat was de relatie tussen dr. Malar Balasubramanian en Saroja Balasubramanian?,2
