question,gpt_answer
"పద్దతి ప్రకారం, అకార్డియన్‌ను చక్కగా వాయించడానికి ఖచ్చితమైన చిట్కాగా దేనిని చూడరు?",1
"అకార్డియన్ ను వాయించేటప్పుడు, వాల్యూమ్ పెంచడానికి ఈ క్రింది వాటిలో ఏది సహాయపడుతుంది?",1
టెలివిజన్‌లో ఇమేజ్‌లకు అంచులు ఎందుకు కత్తిరించబడతాయి?,2
"పదతి ప్రకారం, ఒక చలన చిత్రాని DVD ఆకృతికి మార్చడానికి ప్రయత్నిస్తున్నప్పుడు క్రింద తెలిపిన ఏ సమస్యలు ఎదురుకావచ్చు?",1
బ్రిటిష్ సైనికదళం ఎక్కడ ఉంది?,2
చేతితో వ్రాసిన దానిమీద ఎవరి సంతకం కనిపించింది?,4
"ఈ క్రింది ప్రదేశాలలో, డంలాప్ బ్రాడ్ సైడ్ చివరగా ఎక్కడకు వచ్చింది?",3
కల్నల్ స్టార్క్ ట్రూప్స్ ఎక్కడ ఉన్నాయి?,1
"ఇకడ చెపిన దాని ప్రకారం, స్టార్క్ మనుషులు తమ కంచెను ఎప్పుడు పొడిగించారు?",3
"ఇకడ చెపిన దాని ప్రకారం, ఈ క్రింది వాటిలో ఏది చైనా అత్యంత హింసాత్మక శకాలలో ఒకటి?",4
"జరిగే దాని ప్రకారం, సంచార దశలోకి వెళిన సైనిక చీమల కాలనీలో నిజం ఏమిటి?",2
"పద్దతిగా, తిరుగుతున్నప్పుడు సైనిక చీమల కాలనీల గూడు అలవాట్లను ఏ ప్రతిపాదన ఖచ్చితంగా తెలియజేస్తోంది?",3
బయటి సంకేతాలు ఉన్నప్పటికీ ఈ క్రింది వాటిలో ఏది జరుగుతూ ఉంటుంది?,1
కొన్ని విధాలైన లక్షణాలను చూపించే వాటిని ఏ పదం వివరిస్తుంది?,4
ఒక ఖచ్చితమైన ప్రాంతాన్ని ఆక్రమించే జీవులకు ఈ క్రింది వాటిలో ఏది సరైన పదం?,2
ఈ క్రింది వాటిలో సహజంగా జరిగేవాటికి ఉదాహరణ కానిది ఏది?,3
"ఇక్కడ చెప్పిన దాని ప్రకారం, ఈ క్రింది వాటిలో రవాణా వ్యవస్థకు ఆధారమైనది ఏది?",2
కేంద్రకం చుట్టూ తిరిగే కణాలు ఏ విధమైన చాతో ఉంటాయి?,3
కేంద్రకం ఏ కణాలతో కూడి ఉంటుంది?,1
"ఇక్కడ చెప్పిన దాని ప్రకారం, ఈ క్రింది వాటిలో ఐదు బిట్ బైనరీ సంఖ్యలకు ఉదాహరణలు ఏమిటి?",1
బైనరీ అంకెలను ఇంకా ఏమని పిలుస్తారు?,1
స్టూడెంట్ బ్లాగింగ్ లో ప్రాథమిక ప్రయోజనంగా ఈ క్రింది వాటిలో ఏది ఇక్కడ చెప్పిన దానిలో వివరించలేదు?,2
బ్లాగింగ్ కోసం ఈ క్రింది అంశాలలో ఏవి విద్యార్థులు తమ రచనా నైపుణ్యాలను మెరుగుపరుచుకోవడానికి ప్రేరణగా చెప్పబడతాయి?,2
ఈ క్రింది వాటిలో విద్యార్థులకు ఎసిన్క్రోనస్ కమ్యూనికేషన్‌తో ప్రయోజనం కానిది ఏమిటి? ,2
"ఇక్కడ చెప్పిన దాని ప్రకారం, ఈ క్రింది అంశాలలో ఏది ఎసిన్క్రోనస్ కమ్యూనికేషన్‌లో విద్యార్థులకు సౌకర్యవంతంగా ఉండదు?",4
మధ్యయుగపు కోటలతో సంబంధం ఉన్న విషయంగా ఇక్కడ ఏమీ తెలియజేయలేదు?,4
కోట శిథిలాల మధ్య వాసన లేదా శబ్దాల గురించి ఈ క్రింది వాటిలో ఏది ఇక్కడ చెపిన దానిలో తెలియజేయలేదు?,3
ఈ క్రింది వాటిలో కిర్బీ ముక్స్లో కోట గురించిన ఖచ్చితమైన వివరణ ఏమిటి?,2
