premise,hypothesis,gpt_label
"Pekala, bunu hiç düşünmemiştim ancak kafam çok karıştı ve onunla tekrar konuşmadım.",Onunla bir daha konuşmadım.,0
"Pekala, bunu hiç düşünmemiştim ancak kafam çok karıştı ve onunla tekrar konuşmadım.",O kadar çok üzgündüm ki onunla tekrar konuşmaya başladım.,2
"Pekala, bunu hiç düşünmemiştim ancak kafam çok karıştı ve onunla tekrar konuşmadım.",Harika bir konuşma yaptık.,2
Sonunda tanışmam için bir adam tarafından çağrılmamı söylediler.,Bana herhangi birisiyle görüşme konusunda hiç bir şey söylenmedi.,2
Sonunda tanışmam için bir adam tarafından çağrılmamı söylediler.,Tanışmam için bana bir adamın çağrılıcağı söylendi.,0
Sonunda tanışmam için bir adam tarafından çağrılmamı söylediler.,Adam biraz geç teşrif etti.,1
Bu konu hakkında söyleyebileceğin çok şey var pas geçiyorum.,O konuda bildiğim her şeyi sana anlatmak istiyorum.,0
Bu konu hakkında söyleyebileceğin çok şey var pas geçiyorum.,Kapsanacak çok şey olmasına rağmen bundan bahsetmeyeceğim.,0
Bu konu hakkında söyleyebileceğin çok şey var pas geçiyorum.,Şehrin tarihinden bahsetmeyeceğim çünkü söylenecek çok bir şey yok.,1
Neden olduğunu gerçekten bilmiyorum.,Sebebinden eminim.,2
Neden olduğunu gerçekten bilmiyorum.,Okullardan neden nakil olduğunu bilmiyorum.,0
Neden olduğunu gerçekten bilmiyorum.,Bunun neden olduğunu bilmiyorum.,0
Minyatür irtifa odalarındaki test için regülatörleri çalıştıran tek kişi bendim.,Testler için düzenleyicileri yöneten tek kişi olmayı sevmedim.,1
Minyatür irtifa odalarındaki test için regülatörleri çalıştıran tek kişi bendim.,Testler minyatür irtifa odalarında yapıldı.,0
Minyatür irtifa odalarındaki test için regülatörleri çalıştıran tek kişi bendim.,Test için düzenleyicileri yöneten birkaç kişi vardı.,2
Rick’ in söylediği gibi ben Şef Master Sergeant emekli oldum.,Bugün bile çalışıyorum.,1
Rick’ in söylediği gibi ben Şef Master Sergeant emekli oldum.,Ben 2002 yılında emekli oldum.,1
Rick’ in söylediği gibi ben Şef Master Sergeant emekli oldum.,Rick size emekli olduğumu söyledi.,0
"Masamda bazı nakit akışı projeksiyonları var ve bu da Cutty için, müşterinin adı.",Cutty adlı müşteri ayda 10000$ kazanıyor.,1
"Masamda bazı nakit akışı projeksiyonları var ve bu da Cutty için, müşterinin adı.",Adı Cutty olan bir müşteri var.,0
"Masamda bazı nakit akışı projeksiyonları var ve bu da Cutty için, müşterinin adı.",Cutty adlı bir müşterimiz yok.,2
Bana yardım edebilecek olan kız şehrin diğer ucunda.,Yardımına ihtiyacım olan kız uzak bir mesafede yaşıyor.,0
Bana yardım edebilecek olan kız şehrin diğer ucunda.,Bana yardım edecek olan kız 5 mil mesafede.,1
Bana yardım edebilecek olan kız şehrin diğer ucunda.,Bana yardım edebilecek hiç kimse yok.,2
"Ama onlar, tarla çocukları ve ev çocukları olarak bölündüler, bir çeşit ...",Kendi alanlarında çalışmaya hepsi hem fikir oldu.,1
"Ama onlar, tarla çocukları ve ev çocukları olarak bölündüler, bir çeşit ...",Kimin tarla işçisi ve kimin evin sahibi olduğu konusunda anlaşamadılar.,1
"Ama onlar, tarla çocukları ve ev çocukları olarak bölündüler, bir çeşit ...",Kimin pamuk tarlasında kimin yer paspasında çalışması gerektiği konusunda hem fikir olamadılar.,1
"Demek istediğim, sadece beş çocuğu vardı, biri öldü.",Tüm çocukları kurtuldu.,2
"Demek istediğim, sadece beş çocuğu vardı, biri öldü.",Beş çocuktan biri öldü.,0
"Demek istediğim, sadece beş çocuğu vardı, biri öldü.",Ölen çocuk hastalıklı doğmuştu.,1
Gözlerinde sadece gözyaşları olduğunu söyledi ve Joe'nun verandaya geldiğini söyledi.,Ona verandaya gelmesini söylediğinde gözleri yaşlıydı.,0
Gözlerinde sadece gözyaşları olduğunu söyledi ve Joe'nun verandaya geldiğini söyledi.,Joe'yu verandadan attıktan sonra hızlıca gözyaşlarını sildi.,1
Gözlerinde sadece gözyaşları olduğunu söyledi ve Joe'nun verandaya geldiğini söyledi.,Joe'yu gördüğüne o kadar mutlu oldu ki ağlamaya başladı.,1
"Bir uçak alev alsa bile, ki neden yansın, radyasyonun sızması için kurşundan yapılan kısımların erimesi gerekir.",Radyasyon bir yangın sırasında da kapsanabilir.,1
"Bir uçak alev alsa bile, ki neden yansın, radyasyonun sızması için kurşundan yapılan kısımların erimesi gerekir.",Uçak yandıktan sonra radyasyon bir aktarma parçasından sızacaktır.,1
"Bir uçak alev alsa bile, ki neden yansın, radyasyonun sızması için kurşundan yapılan kısımların erimesi gerekir.",Bir yangın sırasında radyasyon dışarı sızmayacaktır.,0
"Bu, ABD Hava Kuvvetleri'nden emekli olan Astsubay Kıdemli Başçavuş Clem Francis'tir.",Şef ABD Hava Kuvvetleri'nden emekli oldu.,0
"Bu, ABD Hava Kuvvetleri'nden emekli olan Astsubay Kıdemli Başçavuş Clem Francis'tir.",Şef sadece birkaç hafta önce emekli oldu.,1
"Bu, ABD Hava Kuvvetleri'nden emekli olan Astsubay Kıdemli Başçavuş Clem Francis'tir.",ABD Hava Kuvvetleri Şefi kariyerine daha bu hafta başladı.,2
Bir haftada iki ya da üç uçağın vardığı yere ulaştı ve nereye uçtuklarını bilmiyordum.,Her hafta birden fazla hava aracı varıyor.,0
Bir haftada iki ya da üç uçağın vardığı yere ulaştı ve nereye uçtuklarını bilmiyordum.,Artan uçak trafiği zahmetli.,1
Bir haftada iki ya da üç uçağın vardığı yere ulaştı ve nereye uçtuklarını bilmiyordum.,Gelen hiçbir uçak yok.,2
Tam baskı takımlarında eğitimlerini çoktan hazırlamışlardı ve tam baskı takımlarına giderseniz benim bir süremi aldı.,Tam basınçlı bir elbisenin kullanımı hakkındaki eğitimi tamamlamak üç aya kadar sürer.,1
Tam baskı takımlarında eğitimlerini çoktan hazırlamışlardı ve tam baskı takımlarına giderseniz benim bir süremi aldı.,Tam basınçlı elbise kullanma eğitimi zaman alır.,0
Tam baskı takımlarında eğitimlerini çoktan hazırlamışlardı ve tam baskı takımlarına giderseniz benim bir süremi aldı.,Günün sonuna kadar tam bir basınç elbisesi kullanmak için eğitilmiş olabilirdik.,1
"Bomba ile içeri girme tehlikesi olmadığını söylemek istiyorum çünkü yere ne kadar sert vurursa vursun, patlamayacaktı.",Bomba pilot tarafından devre dışı bırakılmıştı.,1
"Bomba ile içeri girme tehlikesi olmadığını söylemek istiyorum çünkü yere ne kadar sert vurursa vursun, patlamayacaktı.",Bombanın patlama şansı yok.,0
"Bomba ile içeri girme tehlikesi olmadığını söylemek istiyorum çünkü yere ne kadar sert vurursa vursun, patlamayacaktı.",Büyük bir bomba patlama tehlikesi vardı.,2
Ve ne yapmaya çalıştığım tam olarak nasıl görünüyor.,bunun sana nasıl göründüğünden emin değilim.,1
Ve ne yapmaya çalıştığım tam olarak nasıl görünüyor.,Belli ki bunu yapmaya çalışıyorum.,0
Ve ne yapmaya çalıştığım tam olarak nasıl görünüyor.,Projemi gelecek hafta içinde tamamlamaya çalışıyorum.,1
"Ama yine de, hayvanlar her zaman, özellikle keçiler kaçıp kaybolurlardı",Keçiler ahırdan her gün kaçtı.,1
"Ama yine de, hayvanlar her zaman, özellikle keçiler kaçıp kaybolurlardı",Keçiler sık sık kaçardı.,0
"Ama yine de, hayvanlar her zaman, özellikle keçiler kaçıp kaybolurlardı",Keçiler güvende tutuldu.,2
İçeri girdiğimizde kapılar kilitliydi.,Bütün kapılar açıktı.,2
İçeri girdiğimizde kapılar kilitliydi.,Bizde anahtarlar vardı.,2
İçeri girdiğimizde kapılar kilitliydi.,Kapılar kilitli olmasına rağmen içeri girdik.,2
Bu yüzden toplamları almalı ve bunu böyle denemeli ve ifade etmeliydim.,Bunu anlamak için tek ihtiyacım olan şey toplamlar olduğu için kendime güveniyorum.,1
Bu yüzden toplamları almalı ve bunu böyle denemeli ve ifade etmeliydim.,"Sadece toplamlarla ne yapacağım hakkında bir fikrim yok, lütfen bu karışıklığı anlamak için bana daha fazla ayrıntı verin.",2
Bu yüzden toplamları almalı ve bunu böyle denemeli ve ifade etmeliydim.,Toplama göre hesaplayacağım.,0
"ve bu, annelerin uyuşturucuya sahip olmasından kaynaklanıyor.",Anneler ilaç bağımlısı.,0
"ve bu, annelerin uyuşturucuya sahip olmasından kaynaklanıyor.",Anneler herhangi bir ilaç reçetesine veya ilaca ödeme yapmaz.,1
"ve bu, annelerin uyuşturucuya sahip olmasından kaynaklanıyor.",Anneler ilaç alır.,0
evet çok güzel yağmur yağıyor,Yağmur umurumda değil.,1
evet çok güzel yağmur yağıyor,Güzel ve yağmurlu.,0
evet çok güzel yağmur yağıyor,"Bu, sonu gelmeden gün ışığı ile çok korkunçtur.",1
oh insan hayatının değeri ve birisini rehabilite edip edemeyeceğiniz nedir,Bütün hayatlar rehabilitasyona ve ikinci şansa değer.,0
oh insan hayatının değeri ve birisini rehabilite edip edemeyeceğiniz nedir,Hiçbir insan rehabilite olmayı hak etmiyor.,2
oh insan hayatının değeri ve birisini rehabilite edip edemeyeceğiniz nedir,Hayat için değen rehabilitasyona aldırmadan.,1
oh oğlum orada garip bir kablolama problemin var,Daha önce hiç bu çeşit bir kablo sorunu görmedim.,1
oh oğlum orada garip bir kablolama problemin var,Kablolama sorun değil.,2
oh oğlum orada garip bir kablolama problemin var,Bu garip elektrik tesisatının sebep olduğu bir sorun var.,0
Çok eğlenceli gibi görünüyor evet ne kadar çok şeye izin verdikleri benim için çok şaşırtıcıdır.,Onların hiç hoş olmadıklarına hiç şaşırmadım.,2
Çok eğlenceli gibi görünüyor evet ne kadar çok şeye izin verdikleri benim için çok şaşırtıcıdır.,Oraya yiyecek ve içecek götürmene izin verdiklerine şaşırdım.,0
Çok eğlenceli gibi görünüyor evet ne kadar çok şeye izin verdikleri benim için çok şaşırtıcıdır.,Neyle kaçtıklarına şaşırdım.,1
oh ama yine de neyse benim çocuklarım şimdi yirmi bir ve yirmi dört yaşında yani ben yapmak zorunda değilim,Ben zorunda değilim çünkü çocuklarım yirmi yaşından büyükler.,0
oh ama yine de neyse benim çocuklarım şimdi yirmi bir ve yirmi dört yaşında yani ben yapmak zorunda değilim,Yaşları yakın olduğu için öyle yapmam gerekebilir.,1
oh ama yine de neyse benim çocuklarım şimdi yirmi bir ve yirmi dört yaşında yani ben yapmak zorunda değilim,On ve on bir yaşında olduğu için yapmalıyım.,2
"evet, herhangi bir zamanda iş yerinde olabilecek veya karar vermeleri durumunda kararları verilebilecek kişiler","Evet, en iyi kanaate dayalı kararları veremeyebilen insanlar.",1
"evet, herhangi bir zamanda iş yerinde olabilecek veya karar vermeleri durumunda kararları verilebilecek kişiler","Evet, aç olma ihtimali olmayan insanlar.",1
"evet, herhangi bir zamanda iş yerinde olabilecek veya karar vermeleri durumunda kararları verilebilecek kişiler","Evet, karar verme yetileri hiç bozulmamış insanlar.",1
hayır hala turdalar hala altmışların sonlarından beri turluyorlar,1970 yılından beri geziyorlar.,0
hayır hala turdalar hala altmışların sonlarından beri turluyorlar,Dolaşmayı severler.,0
hayır hala turdalar hala altmışların sonlarından beri turluyorlar,Turu kısa bir süre önce bitirdiler.,2
nasıl aerobik yaparsın,Aerobiği nasıl yaparsın açıklar mısın?,0
