premise,hypothesis,gpt_label
"nazalaki NGA Moko ya, euh, Kaka kosalosa regulateur PONA , test ya ba chambre d'altitude ","nazali euh! mokonzi ya mapinga monene, natika musala, lokoka Rick alobi",1
"nazalaki NGA Moko ya, euh, Kaka kosalosa regulateur PONA , test ya ba chambre d'altitude ","alobi ezalaki kaka pinzoli mutu kotanga na misu na ye PE alobi, na sima alobi ete joe azali",1
"nazalaki NGA Moko ya, euh, Kaka kosalosa regulateur PONA , test ya ba chambre d'altitude ","ndenge alobaki mata na porche, atangisaki pinzoli na miso",1
"ataku pempo ezo Pela moto, PONA Nini ete, eske eza eh, kosika PE ko lemba Na moto Na Zela ya",bazuaki ngalasisi PONA ba kostume ya pression PE ezuaki NGA tango soki otié ,1
"ataku pempo ezo Pela moto, PONA Nini ete, eske eza eh, kosika PE ko lemba Na moto Na Zela ya",ezuaka ti Na basanza misato pona kosilisa koyekola kosalela kostume ya espace mobimba ,1
"ataku pempo ezo Pela moto, PONA Nini ete, eske eza eh, kosika PE ko lemba Na moto Na Zela ya",Na tie motema na Tina ete naza na posa ya ko Mona kaka ba totaux PONA ko silisa likambu oyo,1
"bo ndimela NGA, monsieur, bayebisaki NGA nionso Na makambu yango",bayebisaki yo Ete na yebi nionso Oyo ezo leka,1
"bo ndimela NGA, monsieur, bayebisaki NGA nionso Na makambu yango",eza Liwa ya inspecteur yango Wana ba yebisaki nga,1
"bo ndimela NGA, monsieur, bayebisaki NGA nionso Na makambu yango",eza Na makombo ya mukié ebele Oyo ba bombelaki nga,1
makelele ezalaki kotungisa capitaine blood Na ba ndoto Na ye ya motungisi,capitaine Blood azalaki na makoki ya ko kanisa biloko Oyo ezalaki ko pesa ye mawa ko sanga ko kata,0
makelele ezalaki kotungisa capitaine blood Na ba ndoto Na ye ya motungisi,makanisi ya capitaine Blood ekatamaki likolo ya mua makelele ,0
makelele ezalaki kotungisa capitaine blood Na ba ndoto Na ye ya motungisi,makelele ya muana mbwa ebimisaki capitaine Na makanisi Na ye,1
osunga NGA malamu tango nazalaki mo umbu na barbade,"Kuna, koleka nktoko misato te, ezalaki mabele, efelo ekokana te ya verdure vive etondisaki horizon ",1
osunga NGA malamu tango nazalaki mo umbu na barbade,paysage ya luxe ezalaki komonana,1
osunga NGA malamu tango nazalaki mo umbu na barbade,"mokonzi aza Na bato atindaki, naza Moko na bango",1
mokonzi atindaki NGA Awa esali mposo Moko uta Naya,nazuaka mitindo kowuta epayi ya mokinzi te,2
mokonzi atindaki NGA Awa esali mposo Moko uta Naya,"Esengelaki na pesa yo yango, to PE na ndimaki yango, alobaki",1
mokonzi atindaki NGA Awa esali mposo Moko uta Naya,Natikala ko banza te été asengelaki ko pesa yo eloko moko,1
azalaki na niongo na yo PONA lisungi Oyo opesa ye tango azalaki ko senga mbongo na zela,blood azuaki ndoto Moko ya Tina te na mbetu naye ya moyi,1
azalaki na niongo na yo PONA lisungi Oyo opesa ye tango azalaki ko senga mbongo na zela,Blood azalaki ko tafuna bileyi Oyo ESI aliaki tango ami tandaki Na mbetu,1
azalaki na niongo na yo PONA lisungi Oyo opesa ye tango azalaki ko senga mbongo na zela,Blood abandaki ko kanisa makasi mbala ya suka amonaki maman na ye,1
"iyo, bongo, Nako yebisa bino yango ","malamu mingi, Nako lobela yo yango",1
"iyo, bongo, Nako yebisa bino yango ",Natikala monoko ya ko kangama,1
"iyo, bongo, Nako yebisa bino yango ",eza kaka PONA olako été oko yebisa yango mutu te NDE nazo yebisa yo yango ,1
ah! PE Na ndenge Nini?,mutu Moko Azo tuna ngambu Nini akende,1
ah! PE Na ndenge Nini?,motuni mituna aza ye Moko PE aza Na moto Yako solola Na ye te,1
ah! PE Na ndenge Nini?,moto Oyo Azo tuna motuna aza Na lombangu PE asengeli koyeba mbala Moko nzela ya kokende,1
napesaka commission ya mokonzi na Pete te,kopesa commission ya mokonzi ezo balana te na bizaleli malamu,2
napesaka commission ya mokonzi na Pete te,bakanisaki mingi maye matali commission ya mokonzi,1
napesaka commission ya mokonzi na Pete te,natiaki moboko Na mandat PONA kopesa commission Na mokonzi Nako sanga kobanza PONA yango ,2
asosolaki ete akokaki kosengela ko zonga sima na lombango,asosolaki ete azalaki no mokolo mobimba PONA amilongola,1
asosolaki ete akokaki kosengela ko zonga sima na lombango,asosolaki ete esengalaki asala nokinoki,1
asosolaki ete akokaki kosengela ko zonga sima na lombango,soki atikalaki esika Moko tolingaki tomona ye,1
alingaki te ndenge ye aboma batu ebele ba mbula misato oyo eleki,alobaki Na esengo pona ba aventures PE bomoto Na ye,1
alingaki te ndenge ye aboma batu ebele ba mbula misato oyo eleki,Azalaki ko loba na mawa Na mungongo,1
alingaki te ndenge ye aboma batu ebele ba mbula misato oyo eleki,Na panzi ete ekutani Na ba posa Na yo,1
Na banzi ba misusu PE bazalaka boyé ,natangaki makambu etali bato Na bino pe culture na bino,1
Na banzi ba misusu PE bazalaka boyé ,Na banzi eza Penza mingi te kati Na biso,1
Na banzi ba misusu PE bazalaka boyé ,kokanga elongi Na ko kanga makiki efinaki elongi Na ye,1
elongi Na ye ezalaki na mwa koseka,ayokaki liyoki ya pasi makasi na estoma na ye,1
elongi Na ye ezalaki na mwa koseka,akangisi makiki  / akangi elongi,1
elongi Na ye ezalaki na mwa koseka,"atalaki na miso ya ngala ,kasi tango amonaki elongi naye ya mawa, PE ko kanga makiki Na mbunzu Na ye, elongi naye ebogwanaki ",1
Elongi Na ye ebogwanaki nasima komona elongi na ye,Elongi na ye engengaki Tango amonaki elongi Na ye yako kokanga,1
Elongi Na ye ebogwanaki nasima komona elongi na ye,ayebaki te soki azalaki na Kanda Na ye,1
Elongi Na ye ebogwanaki nasima komona elongi na ye,"kotambola malembe, abalukaki efelo ya makwanza PE alekaki bikuke ya minene ya lopangu ",1
"ndenge bikuke ezalaki ya kokanga na fongola, amataki likolo ya efelo PE akitaki Na kati ya lopangu",bikuke ya minene ezalaki nzela se Moko ya ko kotela na lopangu,1
"ndenge bikuke ezalaki ya kokanga na fongola, amataki likolo ya efelo PE akitaki Na kati ya lopangu",ezalaki Na bikuke ya minene Oyo ebandaki komema na lopangu ,1
"ndenge bikuke ezalaki ya kokanga na fongola, amataki likolo ya efelo PE akitaki Na kati ya lopangu",azalaki shérif Oyo akangaka moyibi,1
Nazali motindami ya mokonzi na région ya ba barbare PE ba boti yavpene ya mokonzi sunderland,ba mboka ebele PE ba bulamatari ya ba mboka baza Na masengami ya audits mosusu,1
Nazali motindami ya mokonzi na région ya ba barbare PE ba boti yavpene ya mokonzi sunderland,ba bulamatari ya ba mboka baza Na makoki Yako tia ba règle Na Bango moko,1
Nazali motindami ya mokonzi na région ya ba barbare PE ba boti yavpene ya mokonzi sunderland,ba bulamatari ya mboka baza Na masengami ata Moko te,1
eza Na masengami mosusu ya audit Oyo epesamaki na ba bulamatari ya mboka,groupe ya sécurité ya sango ekumbanaki kati na 8 PE 12 sessions ma sanza,1
eza Na masengami mosusu ya audit Oyo epesamaki na ba bulamatari ya mboka,groupe ya sécurité ezalaka en moyenne Na 9 sessions Na sanza,1
eza Na masengami mosusu ya audit Oyo epesamaki na ba bulamatari ya mboka,", groupe ya sécurité eza Na séance mikolo nionso Na sanza",1
groupe sécurité eza animé ba sessions ebele na mbula moko,"Kasi, ingénierie yambo Ya ko banda ekokisama kala",1
groupe sécurité eza animé ba sessions ebele na mbula moko,ingénierie ezalaka Na eleko ya préliminaire ,1
groupe sécurité eza animé ba sessions ebele na mbula moko,ingénierie esalema Kaka Na suka,1
"kozanga étude préliminaire, ingénierie eza Na chance ebele Yako Simba te","bongo, bato Oyo azuaka bikateli ya politique PE ba kambi Nakati ya bulamatari ba ndimi ba iniormationya sika Pina konorienter bikateli Na bango",1
"kozanga étude préliminaire, ingénierie eza Na chance ebele Yako Simba te",ba représentants ya bulamatari ba bongoli lolenge na nango Yako Tala makambu,1
"kozanga étude préliminaire, ingénierie eza Na chance ebele Yako Simba te",ba représentants ya bulamatari bazo meka ko matisa nguya ya kokanisa na ndenge mosusu,1
ba représentants ya bulamatari bazo boya ko bongola ndenge ya ko bika,ekoki kosengela ete ba dossier esengeli koza traduit PONA ba client Oyo ko sosola munoko mosusu Oyo eza engele te,1
ba représentants ya bulamatari bazo boya ko bongola ndenge ya ko bika,ba dossiers ya affaire epesameli Nzela Kaka Na engele,1
ba représentants ya bulamatari bazo boya ko bongola ndenge ya ko bika,ba dossiers ekoki kokomama Na chinois to ma russe,1
ba dossiers ekoki kokomama Na minoko misusu,bamakoki misusu eyo exo salema to PE Oyo babongisi ezali na,1
ba dossiers ekoki kokomama Na minoko misusu,mingi ya mokoki na biso ESI eza Na misala,1
ba dossiers ekoki kokomama Na minoko misusu,toza na eloko Moko te Oyo to bongisi PONA avenir,1
ESI toza Na eloko Oyo to bongisi,ba longoli ba fichiers informatique ya IBM,1
ESI toza Na eloko Oyo to bongisi,ba longoli ba fichiers ya Dora ya ordinateur ,1
ESI toza Na eloko Oyo to bongisi,bazo bomba ba fichier ya Dora nionso ,1
représentant oko tala bato PONA heure moko,ezalaki Na visite ya représentant,0
représentant oko tala bato PONA heure moko,totikala kozala Na visite te,1
représentant oko tala bato PONA heure moko,choix Yako bomba to te eza influencé Na bomemgo,1
bomengo PE ba économies ezalaka mingi mingi Yako kangama te,bato ya mbongo baza Na makoki ya ko bomba eteni ya bozui na bango,1
bomengo PE ba économies ezalaka mingi mingi Yako kangama te,toyebaki ete lifuti eko zua tango ebele,1
bomengo PE ba économies ezalaka mingi mingi Yako kangama te,tobazanki ete lifuti ekokaki koya yambo ya verification ,1
