premise,hypothesis,gpt_label
Um estudo afirma que jogar videogame pode aumentar a inteligência,Um estudo afirma que jogar videogame pode diminuir a inteligência,2
"Um indivíduo está sentado à beira do mar, sendo atingido por uma onda",O indivíduo está usando um chapéu de palha enquanto está sentado à beira do mar,1
Uma embalagem de presente decorada com um personagem de desenho animado,Há um personagem de desenho animado na embalagem do presente.,0
Um profissional de saúde está realizando radioterapia em um paciente deitado,O profissional de saúde tem muitos anos de experiência em radioterapia.,1
Uma garota pequena no vestido vermelho está correndo na areia,Uma criança está correndo na areia.,0
Um helicóptero é ilustrado voando entre as nuvens,Não há helicóptero voando entre as nuvens,2
A água está sendo derramada na chaleira pelo homem,O homem está usando uma camisa azul,2
Um bolo retangular está coberto com ganache e decorado com raspas de chocolate preto na lateral e topo,O bolo retangular está sem cobertura e sem decoração,0
Atores e atrizes da peça estão vestidos com seus figurinos para a promoção do espetáculo,Os atores e atrizes têm experiência em teatro,1
O céu está nublado e ventando,O céu está limpo e sem vento,2
"Relógios digitais estão disponíveis nas cores dourada, rosé e prata",Relógios digitais possuem alarme.,1
Três palhaças estão se apresentando no espetáculo,Uma das palhaças tem uma peruca azul,2
Indivíduos vestindo roupas de frio estão sendo fornecidos com máscaras pela equipe do governo local,As pessoas estão recebendo máscaras da equipe do governo local,0
Um homem está degustando um prato de frutos do mar,O homem está comendo frutos do mar.,0
Uma criança está correndo atrás de uma bola em um campo de futebol,O campo de futebol está bem cuidado e a grama está verde e cortada.,1
Uma reunião está ocorrendo virtualmente com a participação de várias pessoas apresentadas em formato de mosaico,Várias pessoas estão participando de uma reunião virtual no formato de mosaico,0
"Potes, tigelas e copos de vidro estão expostos, com uma das tigelas contendo peras",Os potes de vidro estão cheios de compota de maçã.,1
Uma máscara branca e um par de luvas azuis descartáveis estão jogadas no chão,Uma enfermeira deixou cair sua máscara e luvas no chão.,1
Um homem está dirigindo um carro para o fogo,O homem está conduzindo o carro para longe do fogo,2
Um manequim posa para fotos usando uma videira no cenário,O manequim está sendo fotografado com uma videira ao fundo,0
A menina está lendo um livro de histórias em sua cama antes de dormir,A menina está em sua cama,0
Um pedaço de tecido está sendo costurado por uma mulher,Uma mulher está cozinhando o jantar,0
Não há nenhuma mulher loira com chapéu de palha em pé ao lado de um carrinho de sorvete,A mulher ao lado do carrinho de sorvete é morena,2
Uma criança está alimentando um pato amarelo com migalhas de pão na beira do lago,"A criança está correndo longe do pato, com medo.",2
Três bodies estampados estão na vitrine da loja,Não há bodies estampados na vitrine.,2
"A modelo está sentada em uma cadeira em uma casa, vestindo um chinelo rasteira bege com enfeite",A modelo tem cabelos longos ondulados.,1
Um gato preto está empurrando uma bola de vôlei com o focinho na areia da praia,O gato preto está brincando com uma bola de vôlei na areia da praia.,0
"Dois gatos, um cinza e outro laranja, estão brincando despreocupadamente juntos no quintal",Os gatos são irmãos.,1
Um homem está fazendo o sinal de positivo com a mão,O homem está fazendo o sinal de negativo com a mão,2
Uma gaivota está voando sobre as ondas do oceano,A gaivota está nadando nas ondas do oceano,0
Uma mulher está cozinhando um escorpião,Existe um escorpião sendo preparado para a refeição.,0
Alguém está derramando suco de laranja na mulher,A mulher está usando um vestido branco.,1
Jovens em trajes de esporte não estão jogando bola no campo,Jovens estão jogando bola no campo em trajes de esporte,2
Um gato preto está empurrando uma bola de vôlei com o focinho na areia da praia,Um gato preto está dormindo na areia da praia.,2
Caixas de vacinas estão sendo descarregadas,Nenhuma dose de vacina está sendo movida do lugar,2
Um bebê está mamando no peito da mãe,O bebê está usando fralda,0
Um profissional da saúde está informando a população,A população está sendo informada por um profissional da saúde,0
O CD contém as partituras das obras mais famosas,O CD tem as músicas mais famosas em forma de partitura.,0
