premise,hypothesis,gpt_label
"Ga’lá ju, ke tási newalayé nejé echi kítira, we ne majáli, a’lí ko uchécho ne yua ku ra’íchaki.",Tási ne uchecho yua ra’ícha échi rejói.,0
"Ga’lá ju, ke tási newalayé nejé echi kítira, we ne majáli, a’lí ko uchécho ne yua ku ra’íchaki.","We ne yoa iníli, analí ariká ne yua ku ra’íchaki.",1
"Ga’lá ju, ke tási newalayé nejé echi kítira, we ne majáli, a’lí ko uchécho ne yua ku ra’íchaki.",A ta wilibé ra’íchaki.,1
"We a’lá ne mayéki, a bajísi, echi riká ju, nejé binéli ke mapu ne asáli echoná beneyá avione mela beneyá.",Tási ne machíli mapu echi binéli asáli kawichí a’lí rawé.,0
"We a’lá ne mayéki, a bajísi, echi riká ju, nejé binéli ke mapu ne asáli echoná beneyá avione mela beneyá.",Nejéko mayéli mapu echi binéli niili bilépi numero olaká echoná kawichí.,1
"We a’lá ne mayéki, a bajísi, echi riká ju, nejé binéli ke mapu ne asáli echoná beneyá avione mela beneyá.","Si’néamita bilépi número ne chiyíri chopi áiru, tási ta naréli suwába maputa chiliwéabaruai, pekaléka ra’ichairu.",2
"Nejé je anéiru, je’ná… bilé rejói tamí ra’íchamaruai, mapu rikata ra’ichába.",Tási ne náriliru ácha ne bilécho machináli.,1
"Nejé je anéiru, je’ná… bilé rejói tamí ra’íchamaruai, mapu rikata ra’ichába.",A ne ruyéri mapu bilé rejói bayéba kiti ko tamí machiméa.,0
"Nejé je anéiru, je’ná… bilé rejói tamí ra’íchamaruai, mapu rikata ra’ichába.",Ma pei alíwachi nawáli échi rejói.,1
"Wekabé nirú ra’íchali jepuná kítira, pe ne simíruma jepuná kítira ko.",¡nejé suwába mi ruyéma échi kítira!,2
"Wekabé nirú ra’íchali jepuná kítira, pe ne simíruma jepuná kítira ko.","Tási ne ra’icháma échi kítira, we nirúi mapu anibóa.",2
"Wekabé nirú ra’íchali jepuná kítira, pe ne simíruma jepuná kítira ko.","Tási ne ra’icháma nawésali ki’yá nirúiami kítira, we nirú ra’íchali.",0
"Echi nalí wabé natéami neráka ta tibúi, tási níisa riké bilé bomba ra’atáami páluwa a’nára re’pá jónsa.","Tási namútita katéwiki, ke natéamita ke.",1
"Echi nalí wabé natéami neráka ta tibúi, tási níisa riké bilé bomba ra’atáami páluwa a’nára re’pá jónsa.","bilé namúti ta katéwiki, ajarécho ko tási.",1
"Echi nalí wabé natéami neráka ta tibúi, tási níisa riké bilé bomba ra’atáami páluwa a’nára re’pá jónsa.","Bilé namúti ta tibúki bomba anelíami, we nóchali ke échiko.",1
Tási ne me machí chu olá.,A ne machí píri olá chiriká ju.,2
Tási ne me machí chu olá.,Tási ne machí chu olá benéalachi waminá nijíiru.,0
Tási ne me machí chu olá.,Tási ne machí chu olá chikíli.,0
"Je’ná ko Fannie Flono. Creció en Ag-- Augusta, GA, ajaré ra’icháli nawésama mapu a’lí binói taa ké.","Fannie Flono jípi ko tási tamó ruyéma ra’íchali, a uchécho sinéko ayena.",1
"Je’ná ko Fannie Flono. Creció en Ag-- Augusta, GA, ajaré ra’icháli nawésama mapu a’lí binói taa ké.","Fannie Flono ajaré ra’icháli nawésama mapu a’lí binói taa ke, mapu a’lí waminá Augusta GA betéili.",1
"Je’ná ko Fannie Flono. Creció en Ag-- Augusta, GA, ajaré ra’icháli nawésama mapu a’lí binói taa ké.","Fannie Flono weká niwi nóchali, nalí jípi ko a tamó ra’íchali.",0
Malí ralámuli ku juláiru nocháalachi jónsa U2.,A ne nócha U2 yua.,2
Malí ralámuli ku juláiru nocháalachi jónsa U2.,"Tási namúti ne nócha U2 yua,",1
Malí ralámuli ku juláiru nocháalachi jónsa U2.,Nayósa makói ne nóchali sinibí rawé biléana mapu oná sontarsi muchuwi U2.,1
"Nejé binéli machiyé bilé namúti anáwiami nokeyá, waminá re’pá juláliami cámaras namúti mo’áami.","Ke ni kaníli nejé binéli machiyá nokéa namúti anáwiami, waminá re’pá jonsa.",2
"Nejé binéli machiyé bilé namúti anáwiami nokeyá, waminá re’pá juláliami cámaras namúti mo’áami.",I’nelíwa bilé taa kámara júlaka aminá re’pá chu riká ju ajaré namúti.,0
"Nejé binéli machiyé bilé namúti anáwiami nokeyá, waminá re’pá juláliami cámaras namúti mo’áami.",Ayénacho tamó si nikúiruli ajaré reguladores anelíwa júlaa namúti anáwiami.,1
"Je’ná ju nejé, bilé sargento wa’lúla benériami, ma kuwaníkami nócha, mapu riká aníli Rick.",Nejé a bijí nócha jípi rawé kítira.,2
"Je’ná ju nejé, bilé sargento wa’lúla benériami, ma kuwaníkami nócha, mapu riká aníli Rick.","Okuá mili bamíbali ináraachi, a’líni ku simíki.",1
"Je’ná ju nejé, bilé sargento wa’lúla benériami, ma kuwaníkami nócha, mapu riká aníli Rick.",Je aníli Rick mapu ma ke tási nócha.,1
"Ajaré nóchali newalíwa áala Cutty anelíami, echi riká anelíwa.",Makói mili wenomí me echi Cutty rewéami bile mechá neráa.,1
"Ajaré nóchali newalíwa áala Cutty anelíami, echi riká anelíwa.","Nirú bilé rejói Cutty rewéami, mapu namúti raláami ju.",0
"Ajaré nóchali newalíwa áala Cutty anelíami, echi riká anelíwa.",Tási nirú namúti raláami Cutyy rewéami.,1
Waminá bo’ómi atí tewé mapu tamí ku’írosare.,Waminá mekabé beté tewé mapu nejé newalé.,1
Waminá bo’ómi atí tewé mapu tamí ku’írosare.,"Ta tewé mapu tamí ku’íroma mekabé atíki, osá nayósa makói kicháo metro simírika.",1
Waminá bo’ómi atí tewé mapu tamí ku’írosare.,Tási wési nirú mapu tamí ku’íroma.,1
"Waná muchuwáiru kawichí we’érili nóchaami a’líi kúuchi bitichí muchúwaami pe wanácho, mapu riká ke…",Si’néami ka katúili mapu ana´rika nocháma we’érili kawichí.,0
"Waná muchuwáiru kawichí we’érili nóchaami a’líi kúuchi bitichí muchúwaami pe wanácho, mapu riká ke…",Tási uméri katuíya jepuká niima mapu we’érili nocháma a’lí jepuká ko bitichí ripíma.,2
"Waná muchuwáiru kawichí we’érili nóchaami a’líi kúuchi bitichí muchúwaami pe wanácho, mapu riká ke…",Tási uméri katuíya jepuká nalí nocháma we’érili algodónchi nócha a’lí jepuná nalí pichíka pakóma bitichí.,1
"Jípi ko ra’ichábare namúti kítira SS, a’líko Quick a’lí Blackbird.",Rejói ko ma ke tási ra’ichánali.,1
"Jípi ko ra’ichábare namúti kítira SS, a’líko Quick a’lí Blackbird.",Rejói ko we ra’ícha bikéa ralámuli kítira mapu re’lé bawéchi nóchaami ju.,1
"Jípi ko ra’ichábare namúti kítira SS, a’líko Quick a’lí Blackbird.",Rejói ko bikéa namúti kítira ra’ícha.,1
A ne mi ruyéma mapu échi ko malí níwili kúuchi. Bilé mukúli.,Suwába kúchuwala a wéili.,1
A ne mi ruyéma mapu échi ko malí níwili kúuchi. Bilé mukúli.,Bilé ta towí malí bamíbaka mukúli.,1
A ne mi ruyéma mapu échi ko malí níwili kúuchi. Bilé mukúli.,Ta towí mapu kukúliko pe nayúami a nawáli taa kito ka.,1
"A’lí, Androv Gromikov tási namúti aníli náriwa, nalí suwábaka ra’íchali kítira a ta olayé echi película newáirachi U2.",U2 nóchami weká mo’áli película.,1
"A’lí, Androv Gromikov tási namúti aníli náriwa, nalí suwábaka ra’íchali kítira a ta olayé echi película newáirachi U2.","U2 nóchami bilé tonelada mo’lali película, re’lé ba’wéchi.",1
"A’lí, Androv Gromikov tási namúti aníli náriwa, nalí suwábaka ra’íchali kítira a ta olayé echi película newáirachi U2.",Tási nirúili oselí osirúami katewáraami a’lí pe chuwéta machíki.,1
Aníli mapu busichí jónsa o’kénali a’lí ko Joe rewéami mulípi kalírli nawáli.,"Mapu a’lí mulípi bitichí jímuli, busichí o’kewéili.",2
Aníli mapu busichí jónsa o’kénali a’lí ko Joe rewéami mulípi kalírli nawáli.,"Echi ko jiyáwiti be’wáli o’kewá, Joe ma’chími ku kalírli banaká pása.",1
