question,gemma3_answer
"Passage ke hisab se, accordion ache se bajaane ki kaun si sabse sahi tip nhi kehlayegi?",4
"Accordion bajate hue, inmein se kya volume ko badhane mein madad karega?",2
Television par dikhne wali images ki seemaayein kyu cut jaati hain?,2
"Passage ke hisaab se, movie to DVD format mein badalne mein kisi bhi vyakti ko inmein se kaun si dikkat aa sakti hain?",4
British garrison kahan istith tha?,3
Hath se likhe masaude par kiske hastakshar kiye gaye the?,4
Di gayi location mein se Dunlap broadside aakhiri baar kahaan pahuchi thi?,3
Colonel Stark ke sainikon ka morcha kahan maujood tha?,1
"Passage ke anusaar, Stark ke admiyoon ne baad ko aage badhaya?",2
"Passage ke anusaar, inmein se kaun sa yug Cheen ka sabse khooni yug tha?",4
Passage ke anusaar inmein se kaun si chiz chintiyon ki fauz ke khanabadosh charan mein ane ke lihaz se shi hai?,2
Passage ke anusaar kaun sa kathan chintiyon ki fauz ke khanabadosh charan ke dauran unki ghonslein banane ki aadat ko sabse sahi se dikhata hai?,3
Baahari sanketon ki mauzudgi ke bavjood inmein se kaun sa jaari rahega?,3
Kaun sa shabd kuch khas phenotypic visheshta ke kayi roop darshata hai?,4
Inme se kaun sa un jeevon ke liye shi shabd hai jo kisi vishesh kshetra par kabja kar lete hain?,2
Inme se kaun sa prakrti-aadharit paryatan gatividhi ka udaaharan nhi hoga?,3
"Passage ke hisab se, inme se kaun parivahan pranali ka aadhaar hai?",2
Naabhik ki parikrama karne vaale kanon me kaun sa aavesh hota hai?,1
Naabhik kin kanon se bana hota hai?,1
"Passage ke hisab se, inme se kaun sa paanch bit binary number ka udaaharan hai?",1
Binary ankon ko aur kya kha jaata hai?,1
Chhaatr bloging ke prathmik labh ke roop mein inme se kiska ullekh passage me nhi kiya gya hai?,2
Bloging ke kis pahlu ko chhaatron ke lekhan kaushal mein sudhaar ke liye prerak btaya gya hai?,2
Inme se kaun sa chhaatron ke liye atulyakaalik sanchaar ka laabh nhi hai? ,4
"Passage ke hisab se, atulyakaalik sanchaar ka inmemein se kaun sa pahaloo chhaatron ke liye apnane yogya nhi hai?",3
Passage me kis cheez ka ullekh kisi aesi cheez ke roop mein nhi kiya gya hai jise koi madhya-yugeen quile se jod sakta hai?,3
Inme se kiska ullekh passage me gandh ya dhvani ke roop mein nhi kiya gya hai jise quile ke khandaharon ke beech mahsoos kiya ja sakta hai?,3
Inme se kaun Kirby Muxloe quile ka sateek varnan hai?,2
Passage me btayi gyi avadhi ke dauraan inme se kaun si nirmaan visheshta Kirby Muxloe quile ke liye asaamanya mani jayegi?,1
"Passage ke hisab se, aane wale seezan ki taiyai kar rhe runner ke liye inme se kya chiz sbse adhik phaydemand hogi?",4
"Passage ke hisab se, aadha-mile daudne wale first-class runner ke liye sabse mahatvapurna chiz kya hai?",2
"Ek athelete ke liye, inme se kaun si chiz sirf pooshan se prapt nhi ki ja sakti?",3
"Passage ke hisab se, yuva athlete ko apne khel me jyada aanand pane ke liye inme se kya nhi karna chahiye?",2
"Passage ke hisab se, madhyam duri ka runner adhik mahnga upakaran kyon khareed sakta hai?",4
"Passage ke hisab se, madhayam duri ki running ke liye kya jaruri hai?",3
Paramaanu chumbakeey anunaad ki khoj kisne ki? ,3
Medical imaging resonance ka pahla patent kis varsh kiya gya tha? ,2
"Passage ke hisab se, doosaron ke shaareerik kaaryon ki vyakhya karne ke liye manushya ko kis cheez ki gahri samjh honi chahiye?",2
"Passage ke hisab se, irade ko samjhne se manushya ko kya karne me madad miltee hai?",1
"Passage ke hisab se, inme se kaun sa AI ka mukhya uddeshya hai?",4
"Passage ke hisab se, inmein se kiske saath AI ko joda jaata hai?",2
"Passage ke hisab se, inmein se kaunsa sammilit soch pattern waale ki khoobi hai?",4
"Passage ke hisab se, inmein se kya sammilit soch ki maansikta ka lakshya nahi hai?",2
"Passage ke Hisab se, inmein se kya micro-expression nahi maana jaayega?",1
Micro-expressions ke baare mein Inmein si kaunsi baat sach nahi hai?,3
Inmein se kya punarjagaran ki wajah se mahatvapurn ban gaya? ,2
Punarjagaran ki wajah se inmein se kis par kum dhyaan diya gaya?,1
Inmein se kya satat sambandhon ke liye internet ke prayog ki aham wajah nahi hai?,3
Inmein se kya niji bhagidari ke liye internet ke prayog ki aham wajah nahi hai?,1
Paschimi Europe ne kab baahari baaton se prabhavit hona band kiya aur apni khud ki shally viksit ki?,1
Kapadon ko baandhne ke liye button ka upayog kiska natija tha? ,3
"Passage ke hisab se, paryavaran muddon ka inmein se kya lambe samay waala vyavharik hal hai?",1
"Passage ke hisab se, inmein se kaunsa samadhan paryavaran samasyaon ke liye rogsoochak upchaar nahi maana jaayega?",2
Kis desh mein Europe ka pehla yuddh hua tha jiska mool mudda dhaarmik ki jagah shakti santulan sthapit karna tha?,4
Kis yuddh ko kabhi-kabhi antim ‘dharmik yuddh’ kaha jata hai?,1
Catholic Chruch ki inmein se kis baat par jaanch nahi hui?,2
"Passage ke hisab se, Versailles mein kaun maara gaya tha?",4
Bheed ne raja aur rani ko inmein se kya karne ke liye majboor nahi kiya tha?,2
Inmein se kya Britian ke alag nausena yuddh ka parinaam nahi tha?,3
Inmein se kaunsi baat Britian dwara Germany ki samudri gherabandi ko nahi darshati hai?,4
"Passage ke hisaab se, Multiple Sclerosis ki pareshani ki sambhavna kise sabse zyada ho sakti hai?",1
"Passage ke hisab se, niyamit gatividhi mein hissa lene wale logon ko kis cheez ke liye sabse zyada madad ki zarurat padti hai?",1
"Passage ke hisab se, aam taur par talvaarbaazi kaise ki jaati hai?",4
"Passage ke hisab se, Andruni vishaaktata ki sabse badi pehchaan inmein se kya hogi?",4
"Passage ke hisab se, kisi peedit ki halat jaanchte samay sabse pehle kya karna chahiye?",1
"Peedit ko dekhne ki prakriya mein, yahan bataaya gaya kaunsa kaam nahi karna chahiye?",1
French Revolution se shuru hue kin badlaavon ka shramik varg ke naagarikon par gehra asar pada hai?,2
"French Revolution ke baad, military aur anya kaamon mein, safalta milne ka paimana kis cheez par sabse kam aadhaarit tha?",4
Vikasit deshon mein kaun si saarvjanik seva ki wajah se log sabse zyada nakhush hote hain?,3
"Diye gaye passage ke hisab se, public transportation systems ke baare mein kya kaha ja sakta hai?",3
"Passage ke hisab se, drivers ki apratyaashitata ki wajah se kis baat ka aaklan karna sabse mushkil ho sakta hai?",4
"Traffic ki speed ka andaza lagaate samay, inmein se kis cheez ka istemaal kiya jata hai?",2
Hershey aur Chase ne apne DNA ko pratyaaropit karne ke liye kya kiya? ,4
Apni aulaad mein mutation pass karne ki kshamta kis chheez par nirbhar karti hai?,1
"Passage mein di gayi jaankari ke aadhaar par, mutation ke alag-alag asar kin cheezon par nirbhar nahi karte hain?",4
Inmein se wo kaunsi wajah nahi thi ki puraane zamaane mein log bakriyan palte the?,3
Golf ka lakshya hai ki kis cheez ka istemaal kam se kam kiya jaaye?,1
Golf course mein kis jagah par ghaas chhoti kaati jaati hai?,3
"Aamtaur par, kisi prayog ka kya maqsad hota hai?",1
"Passage ke hisab se, scientific research ko guide karne mein kya cheez madad nahi karti?",1
"Passage ke hisab se, tornado ke bare me kaun sa kathan galat hai?",3
"Passage ke hisab se, inme se kaun sa kathan jyadatar tornado ke bare me jankari deta hai?",2
Inme se kaun sa kaam manav ne 16vi shatabdi me krna shuru kar diya tha?,4
"Lense ka istemal karke, manav kab se chizon ko bda karke dekh rha hai?",3
"Passage ke hisab se, Muhammad ki gufa se unke adhyatmik karm-kando ya mulyon ke bare me kya pta chalta hai?",1
"Passage ke hisab se, sabse pahle lohe ka istemal kisliye kiya gya?",4
"Passage ke hisab se, lakdi ke bjay lohe ke pahiye kyo istemal kiye jane lage?",4
"Passage ke hisab se, Rumaniyatwad ke dauran logon ne kya bnaya?",4
"Inme se kaun sa kathan, Technological nirdhaaranvaad ke samanya siddhant ko vyakta nhi karta hai? ",1
"Passage ke hisab se, inme se kaun sa kathan bow khichne se sambandhit nhi hai?",1
"Passage ke hisab se, inme se kaun sa kaam mridu dhwani se sambandhit hai?",3
"Jeevaashm ke hisab se, hathon ka istemal mukhya roop se kis kaam ke liye kiya jata tha?",1
Inme se kaun Chimpanji ke phalanges ki sahi jankari deta hai? ,3
Chayan nayi aanuvanshik bhinnata ko kis pool se nikal deta hai?,4
Aanuvanshik bhinnata ko jodne ka kaam kaun si prakriya karti hai?,3
"Passage me di gyi jankari ke hisab se, “protein ki samasya” ko door karne ke liye inme se kya khana chahiye?",3
"Passage ke hisab se, inme se kaun si samasya amino-acid ki kami ki wajah se nhi hoti hai?",1
"Aamtaur par, upsanskriti ke sadasya apni sanskriti ke sath kaise judav vyakt karte hai?",4
"Passage me diye gye siddhaant ke hisab se, us bachche ka kya hoga jo ek nasleey alpasankhyak aur khataranaak gatividhiyon me shamil hone wala mana jata hai?",2
"Passage ke hisab se, bachche ki nasleey roodhivaadita ki samajh ka asar inme se kis par padega?",2
"Passage ke hisab se, jangalee bachche ke paalan-poshan me inme se kis chiz ki kami rhne ki sambhaavna hai?",2
"Passage ke hisab se, inme se kaun sa kathan bachchon mein jangalee vyavhaar ka sateek varnan karta hai?",2
"Passage ke hisab se, inme se kaun si pratha nirvaah krishi ke anuroop nhi hai?",2
Inme se kaun nirvaah krishi ka sateek varnan krta hai?,1
Kisi sangrahalay ka daura karna paryatan ki kis shrenee mein aaega?,3
"Passage ke hisab se, manoranjak yaatriyon ki prathmikta kya ho sakti hai?",2
Passage me kis cheez ka ullekh kiya gaya hai jisse sthaaneey church me parivartan ke dar ko kam krne mein madad milee?,1
"Passage ke hisab se, apna itihaas samjhne se kya madad mil sakti hai?",1
Inme se kaun sa kathan seekhane ke uttar aadhunik drishtikon ka sateek varnan karta hai?,2
Inme se kaun sa kathan uttar aadhunik shikshan drishtikon ko sateek roop se pratibimbit nhi krta?,4
"Neend ki samanya avadhi ke dauraan jaanboojhkar jagne ke baad, inmen se kaun badha banega?",2
Inme se kaun sa kathan neend rokne ke bare me shi nhi hai?,4
"Jaise-jaise dimag aur jyada spasht sapne dekhane ka prayaas karta hai, kya badhata hai?",4
Baar-baar spasht sapne dekhne se shareer par inme se kaun sa nakaratmak prabhaav pad sakta hai?,2
"Passage ke hisab se, paramparagat aur virtual team ek jaisee kaise hai?",1
"Passage ke hisab se, Paramparagat aur virtual team ke sambandh me kaun sa kathan satya nhi hai?",1
Inme se kaun si aesi cheez nhi hai jis par Samagri ka siddhant kendrit hai?,1
Inme se kaun tisre niyam ka uddeshya nhi hai?,4
Inme se kaun 35 mm ke photography praaroop ko pradarshit nhi karta?,3
"Passage ke hisab se, jaise-jaise nirmata lens utpaadan ki gunvatta badha rahe hai, zoom lens mein kaise sudhaar hua hai?",3
"Passage me di gyi jankari ke hisab se, prime lens ki tulna me zoom lens kab behatar ho sakta hai?",2
Inme se kise rahasyavaad ka sateek varnan nhi maana jaega?,1
"Passage ke hisab se, inme se kaun sa rahasyavaad ka kendra bindu nhi hai?",2
"Passage ke hisab se, krishi samaaj ki shuruaat kisne ki hogi?",3
"Passage ke hisab se, moa ka shikaar karne vaala samooh pahle kha rahtaa tha?",2
Kis sthiti me origami ki pureland paddhati ka upayog karne se folder ko laabh hoga?,1
Inme se kaun sa kathan Pureland origami ke bare me shi nhi hai?,1
"Passage ke hisab se, kaun sa sthaan sindhu ghaatee sabhyata se sambandhit nhi hai?",3
"Passage ke hisab se, inme se kiska ullekh kansya yug sabhyta ke sambhaavit naam ke roop me nhi kiya gya hai?",3
"Passage ke hisab se, inme se kaun lambe samay tak labh deta hai?",1
"Passage ke hisab se, agar kisi ka dhyaan turant faayda paane par hai, to wo inmein se kis cheez ko prathmikta dega?",4
"Passage ke hisab se, war par hone wale kharcho ka sabse bada hissa kisne diya?",4
Templars ke yug se pahle kaunsa samay kaal aaya tha?,3
Templars ke yug ke baad kaunsa time period aaya tha?,1
"Roman saamraajy ke dauraan, doctors aur surgeons ki taraf se istemaal kiye jaane waale kis chikitsa upchaar ya prakriya ke baare mein nahi bataya gaya hai?",1
"Passage ke hisab se, yahan batayi gayi kis cheez ko Roman samraajy ke dauraan chikitsa ke kshetr mein hui pragati ka shrey nahi diya jaata?",3
Dekhne ki kshamta kis cheez par nirbhar karti hai?,1
Organisms ke beech aankhon ka alag-alag structure kin cheezon se tay hota hai?,2
"Passage ke hisab se, Sikh dharm ke baare mein batai gai inmein se kaunsi baat sahi nahi hai?",2
"Passage ke hisab se, inmein se kis cheeez ko Sikh dharm ka mukhya pehlu mana jata hai?",1
"Passage ke hisab se, Attention Deficit Disorder se joojh rahe bachchon ko kis cheez par focus karne mein mushkil ho sakti hai?",1
"Passage ke hisab se, Attention Deficit Disorder se joojh rahe bachche zokhim bhare kaam kyun karte hain?",4
"Passage mein di gayi jaankaari ke aadhaar par, inmein se kis tarike se scaffolding nahi ki jati?",3
"Inmein se kaunsi baat, scaffolding ke concept ke baare mein sahi jaankari nahi de rahi?",3
"Passage ke hisab se, MySpace ke kis feature se un students ko fayda ho sakta hai jinhein padhne mein pareshani hoti hai?",1
"Passage ke hisab se, karmchariyon ke dange ke dauran, Krushchev ne inmein se kaunsi pratikriya nahi di thi?",3
Inmein se kis wajah se Poland mein dange nahi hue the?,4
"Passage ke hisab se, inmein kis cheez ne USSR aur USA ke sambandhon par asar nahi dala tha?",2
