question,gemma3_answer
Sitatiment ki etali ntufu ku mugenyi wa woteri?,2
"Okusinzira ku kiwandiko, sitatimenti ki ku zino wamanga entufu?",1
"Okusinzira ku kiwandiko, bubaka ki obwekuusa ku kabenje obutali bwankomeredde?",4
"Okusinzira ku kiwandiko, kiki ekikyetagisa okumanyisibwa nga kyekusa ku kabenje?",4
"Okusinzira ku kiwandiko, kifo ki Batten weyateka olukalala lwabagaga b’omu America?",3
Biki ku bino wamanga Batten byeyawa obuyambi?,2
Ki ekitali ku tteka elyasibwako omukono Gavana Arnold Schwarzenegger?,1
"Okusinzira ku kiwandiko, ani yasubwa ebintu ebyayogerwa?",2
"Okusinzira ku kiwandiko, biki ku bino ebitufu ku bumanyirivu bwa Miller mu kuwulira?",2
Ani yagamba nti bademu okwekenenya Clean Air Act?,3
Ani yagamba nti Clean Air Act yali ekozesebwa nga akabadi nga bagenda okulonda?,3
Kiki ekitukawo singa cyanuric acid ne melamine nga bitabudwa mu musulo gwa kkapa omulala?,1
Kiki abanonyereza kyebakozesa infrared spectroscopy okwekenenya?,1
Ani yagamba Luna nti ye Nabakyala?,1
Ani yagamba Luna nti yewunyisa?,2
Kiki ekitatuuka ku dereva eyenyigira mu kabenje?,1
Tekyali kintu ki ekyasukuluma ku nzanya ya South Afrika mu mpaka za rugby?,3
"Okusinzira ku kiwandiko, di omuzanyo gwa South afrika lw’egwatandika okulongoka?",3
"Okusinzira ku Kiwandiiko, kiki ku bino wammanga ekitajayo bulungi by’anfuna ya China?",1
"Okusinzira ku kiwandiiko, ddi eby’enfuna ya China w’ebinayisa ebya Amerika?",2
Kiki ky’eyagambye ensi ezikulakulanye kyezikola?,4
Kiki ekitayogerwa Hu?,2
Ku biki bino wamanga Veerman by’eyagamba nti embeera teyali nungi?,2
"Okusinzira Okusingisibwa, ani anatwala ekifo kya Huhne?",1
Ani anatebereza omulimu gwa minister wa bizinesi mu kwongerayoomusango?,3
Kiki Abasanyusa kyebakubiriza abalabi okukola mu kusanyusa kwa Camille Saint-Saens’?,3
