question,gemma3_answer
Според откъса какво не би било сметнато за подходящ съвет за успешно свирене на акордеон?,1
При свирене на акордеон кое от следните ще помогне за увеличаване на обема?,1
Защо образите по телевизията са с отрязани ръбове?,2
Според откъса кой от следните проблеми може да бъде срещнат при конвертиране на филм във формат DVD?,2
Къде е разположен Британският гарнизон?,3
Чий подпис е положен върху ръкописното копие?,4
На кое от следните места последно пристига копие от т.нар. „Dunlap broadsides“?,3
Къде са разположени войските на полковник Старк?,1
Според откъса кога хората на Старк разширяват оградата?,3
Според откъса кой от следните периоди е най-изпълненият с насилие за Китай?,4
Според откъса кое е вярно за колония от мравки войници в номадска фаза?,2
Според откъса кое твърдение точно предава навиците за създаване на гнезда на колонията от мравки войници в номадска фаза?,3
"Кое от следните ще продължи, независимо от наличието на външни сигнали?",3
"Кой термин описва индивиди, които проявяват варианти на дадена фенотипна черта?",4
"Кое от следните е правилният термин за организми, които заемат определен район?",2
Кое от следните не би било пример за природна туристическа активност?,3
Според откъса кое от следните е в основата на транспортната система?,2
"Какъв вид заряд имат частиците, които обикалят около ядрото?",3
От кои частици се състои ядрото?,1
Според откъса кое от следните е пример за бинарно число с пет бита?,3
Как още се наричат двоичните цифри?,1
Кое от следните не се споменава в откъса като основна полза от писането на блогове от студенти?,2
Кой от следните аспекти на писането на блогове е цитиран като мотивиращ студентите за подобряване на техните умения за писане?,2
Кое от следните не представлява полза от асинхронната комуникация за студентите? ,2
Според откъса кой от следните аспекти на асинхронната комуникация не е гъвкав за студенти?,3
"Кое не е споменато в откъса като нещо, което може да бъде асоциирано със средновековните замъци?",4
"Кое от следните не е споменато в откъса като мирис или звук, който може да доловен сред руините на замъка?",3
Кое от следните представлява точно описание на замъка „Кърби Мъкслоу“?,2
"Коя от следните конструктивни характеристики може да се смята за нетипична за замъка „Кърби Мъкслоу“ през периода, описан в откъса?",1
"Според откъса кое от следните би било най-полезно за бегач, подготвящ се за предстоящия сезон?",4
Според откъса кое от следните е от най-голяма важност за първокласен бегач на 800 метра?,2
За един атлет кое от следните не може да бъде постигнато само с помощта на практики на хранене?,3
Съгласно откъса кое от следните не се препоръчва като начин младите атлети да срещнат повече насладата от спорта?,2
Според откъса защо бегач на средни разстояния би могъл да закупи по-скъпо оборудване?,1
Според откъса какво изисква бягането на средни разстояния?,3
Кой открива ядрено-магнитния резонанс? ,3
През коя година е издаден първият патент за магнитно-резонансни изображения за медицински цели? ,2
"Според откъса за какво хората трябва да са наясно, за да могат да интерпретират физическите действия на другите?",2
Според откъса за какво помага на хората разбирането на намерението?,1
Според откъса кое от следните е точно обобщение на основната цел на изкуствения интелект?,4
Според откъса с кое от следните изкуственият интелект е често свързван?,3
