question,gemma3_answer
"Metne göre, hangisi akordeonu başarılı bir şekilde çalmak için uygun bir tavsiye değildir?",1
Akordeonu çalarken aşağıdakilerden hangisi sesin yükselmesini sağlar?,1
Neden televizyondaki görüntülerin kenarları kesiktir?,2
"Metne göre, bir filmi DVD formatına çevirirken aşağıdaki sorunlardan hangisiyle karşılaşmak mümkündür?",2
İngiliz garnizonu neredeydi?,3
El yazması taslakta kimin imzası vardı?,4
Aşağıdaki yerlerden hangisine Dunlap bildirisi en son ulaşmıştır?,3
Albay Stark’ın birlikleri nerede konumlanmıştı?,1
"Metne göre, Stark’ın adamları tel örgülerini ne zaman genişletti?",3
"Metne göre, aşağıdakilerden hangisi Çin’de şiddetin en yoğun yaşandığı dönemlerden biriydi?",4
"Metne göre, göçebe evresine geçen bir asker karınca kolonisiyle ilgili hangisi doğrudur?",2
"Metne göre, hangi ifadede göçebe evresinde asker karınca kolonilerinin yuva yapma alışkanlıkları doğru şekilde belirtilmiştir?",3
Aşağıdaki ifadelerden hangisi dışarıdan gelen uyarılara rağmen süreklilik gösterir?,3
"Hangi terim, belirli bir fenotip özelliğinin çeşitli biçimlerini gösteren bireyleri tanımlamaktadır?",4
Aşağıdakilerin hangisi belirli bir alanı kaplayan organizmaları doğru şekilde tanımlayan terimdir?,2
Aşağıdakilerin hangisi doğa temelli turizm etkinliğine bir örnek olamaz?,3
"Metne göre, aşağıdakilerden hangisi ulaşım sisteminin temelini oluşturur?",2
Çekirdeğin etrafında dönen parçacıklar ne tür yüke sahiptir?,3
Çekirdek hangi parçacıklardan oluşur?,1
"Metne göre, aşağıdakilerden hangisi beş bitlik ikili değerdir?",3
İkili değerlere aynı zamanda ne denir?,1
"Metinde, aşağıdakilerin hangisinden öğrenci bloglarının sağladığı başlıca fayda olarak söz edilmektedir?",3
Blog yazmaya dair aşağıdaki özelliklerinden hangisi öğrencinin yazma becerilerini geliştirme konusunda bir motivasyon sağlar?,2
"Aşağıdakilerden hangisi, öğrenciler için eşzamansız iletişimin faydalarından biri değildir? ",2
"Metne göre, eşzamansız iletişimin aşağıdaki özelliklerinden hangisi öğrenciler için esnek değildir?",3
Aşağıdakilerden hangisi metinde ortaçağ kalelerinin bir özelliği olarak geçmez?,4
"Metinde, aşağıdakilerin hangisinden kale harabeleri arasında çağrışım yapabilecek koku veya ses olarak söz edilmemektedir?",3
Aşağıdakilerden hangisi Kirby Muxloe Kalesinin doğru bir tanımıdır?,2
"Aşağıdaki yapı özelliklerinden hangisi, metinde belirtilen dönem için Kirby Muxloe Kalesi için sıra dışı olarak değerlendirilebilir?",1
"Metne göre, aşağıdakilerden hangisi gelecek sezona hazırlanan bir koşucu için en faydalı hazırlıktır?",4
"Metne göre, aşağıdakilerden hangisi birinci sınıf bir yarım mil koşucusu için büyük öneme sahiptir?",2
Bir atletin aşağıdakilerden hangisini başarmak için beslenmesine dikkat etmekten daha fazlasına ihtiyacı vardır?,3
"Metne göre, aşağıdakilerden hangisi genç atletlerin yaptıkları spordan daha fazla haz almaları için önerilen yollardan biri değildir?",2
"Metne göre, bir orta mesafe koşucusunun daha pahalı ekipman satın alma nedeni ne olabilir?",1
"Metne göre, orta mesafe koşucusu neye ihtiyaç duyar?",3
