question,gemma3_answer
"ნაწყვეტის მიხედვით, აკორდეონის წარმატებული დაკვრისთვის, ზუსტ რჩევად რა არ ჩაითვლება?",1
"აკორდეონის დაკვრისას, ხმის გაზრდაში ჩამოთვლილთაგან რომელი დაგეხმარებათ?",1
სატელევიზიო გამოსახულებებს მოჭრილი საზღვრები რატომ აქვს?,2
"ნაწყვეტის მიხედვით, ფილმის DVD ფორმატში გადაყვანისას, ქვემოთ ჩამოთვლილთაგან რომელი პრობლემა შეიძლება შეგხვდეთ?",2
სად იდგა ბრიტანული გარნიზონი?,3
ხელნაწერ პროექტზე ვისი ხელმოწერა იყო?,4
"ჩამოთვლილი ადგილებიდან, დუნლაპის პლაკატი ბოლოს სად მივიდა?",3
სად იდგნენ პოლკოვნიკ სტარკის ჯარები?,1
"ნაწყვეტის მიხედვით, სტარკის ხალხმა გალავანი როდის გააფართოვა?",3
"ნაწყვეტის მიხედვით, ჩამოთვლილთაგან რომელი იყო ჩინეთის ერთ-ერთი ყველაზე ძალადობრივი ეპოქა?",4
"ნაწყვეტის მიხედვით, რა არის სწორი ჭიანჭველების არმიის კოლონიისთვის, რომელიც მომთაბარეობის ფაზაში შედის?",2
"ნაწყვეტის მიხედვით, მომთაბარე ფაზაში მყოფი ჭიანჭველების არმიის კოლონიების ბუდეების ჩვევებს, ყველაზე ზუსტად, რომელი მტკიცება ასახავს?",3
"ჩამოთვლილთაგან, რომელი გაგრძელდება გარე ნიშნების არსებობის მიუხედავად?",3
"რომელი ტერმინი აღწერს ინდივიდებს, რომლებიც გარკვეული ფენოტიპური ნიშნის ცვალებადობას გვიჩვენებენ?",4
"ქვემოთ ჩამოთვლილთაგან, რომელი შეესაბამება ორგანიზმებს, რომლებიც კონკრეტულ ტერიტორიაზე ბინადრობენ?",2
ჩამოთვლილთაგან რომელი არ არის ბუნებაზე ორიენტირებული ტურისტული საქმიანობის მაგალითი?,3
"ნაწყვეტის მიხედვით, ჩამოთვლილთაგან რომელია სატრანსპორტო სისტემის საფუძველი?",2
რა მუხტი აქვს ბირთვის გარშემო მოძრავ ნაწილაკებს?,3
რომელი ნაწილაკებისგან შედგება ბირთვი?,1
"ნაწყვეტის მიხედვით, ჩამოთვლილთაგან რომელია ხუთბიტიანი ორობითი რიცხვის მაგალითი?",3
ორობით ციფრებს ასევე რას უწოდებენ?,1
"ჩამოთვლილთაგან, რომელი არ არის ნახსენები ნაწყვეტში, როგორც სტუდენტური ბლოგის მთავარი უპირატესობა?",2
"ბლოგის წარმოების ჩამოთვლილი ასპექტებიდან, რომელია მოხსენიებული, როგორც მოტივატორი სტუდენტებისთვის, გაიუმჯობესონ წერის უნარები?",2
"ჩამოთვლილთაგან, სტუდენტებისთვის რომელი არ არის ასინქრონული კომუნიკაციის უპირატესობა? ",2
