answer,percentage
min_Arab,1.0
bjn_Arab,0.76
min_Arab,1.0
min_Arab,1.0
min_Arab,1.0
min_Arab,1.0
min_Arab,0.83
min_Arab,1.0
min_Arab,0.91
min_Arab,1.0
min_Arab,1.0
min_Arab,1.0
min_Arab,1.0
min_Arab,1.0
min_Arab,1.0
min_Arab,1.0
min_Arab,1.0
min_Arab,1.0
min_Arab,0.99
min_Arab,0.89
min_Arab,1.0
min_Arab,1.0
min_Arab,1.0
min_Arab,1.0
min_Arab,1.0
min_Arab,1.0
min_Arab,1.0
min_Arab,1.0
min_Arab,0.45
min_Arab,0.99
min_Arab,1.0
min_Arab,1.0
min_Arab,1.0
min_Arab,1.0
min_Arab,1.0
min_Arab,1.0
min_Arab,1.0
min_Arab,1.0
bjn_Arab,0.93
min_Arab,0.99
min_Arab,0.99
min_Arab,0.57
min_Arab,1.0
min_Arab,0.99
min_Arab,1.0
min_Arab,0.99
min_Arab,1.0
min_Arab,1.0
min_Arab,1.0
min_Arab,1.0
min_Arab,1.0
min_Arab,1.0
min_Arab,1.0
min_Arab,1.0
min_Arab,1.0
min_Arab,1.0
min_Arab,1.0
min_Arab,1.0
min_Arab,1.0
min_Arab,1.0
min_Arab,1.0
min_Arab,1.0
min_Arab,1.0
min_Arab,1.0
min_Arab,1.0
min_Arab,1.0
min_Arab,1.0
min_Arab,1.0
min_Arab,1.0
min_Arab,0.97
min_Arab,0.57
min_Arab,1.0
min_Arab,1.0
min_Arab,1.0
min_Arab,1.0
min_Arab,1.0
min_Arab,1.0
min_Arab,1.0
min_Arab,0.86
min_Arab,1.0
min_Arab,1.0
min_Arab,1.0
min_Arab,1.0
min_Arab,1.0
pbt_Arab,0.59
min_Arab,1.0
min_Arab,1.0
min_Arab,1.0
min_Arab,1.0
min_Arab,1.0
min_Arab,1.0
min_Arab,1.0
min_Arab,1.0
min_Arab,0.87
min_Arab,1.0
min_Arab,0.99
min_Arab,1.0
min_Arab,0.93
min_Arab,1.0
min_Arab,1.0
min_Arab,1.0
min_Arab,1.0
min_Arab,1.0
min_Arab,1.0
min_Arab,1.0
min_Arab,0.85
min_Arab,1.0
min_Arab,1.0
min_Arab,0.99
min_Arab,1.0
min_Arab,1.0
min_Arab,1.0
min_Arab,1.0
min_Arab,1.0
min_Arab,1.0
min_Arab,1.0
min_Arab,1.0
min_Arab,1.0
min_Arab,1.0
min_Arab,1.0
min_Arab,1.0
min_Arab,1.0
min_Arab,1.0
min_Arab,1.0
min_Arab,1.0
min_Arab,1.0
min_Arab,1.0
min_Arab,1.0
min_Arab,1.0
min_Arab,1.0
min_Arab,1.0
min_Arab,1.0
min_Arab,1.0
min_Arab,0.82
min_Arab,0.95
min_Arab,1.0
min_Arab,1.0
min_Arab,1.0
min_Arab,1.0
min_Arab,1.0
min_Arab,1.0
min_Arab,1.0
min_Arab,1.0
min_Arab,1.0
min_Arab,1.0
min_Arab,1.0
min_Arab,0.68
min_Arab,1.0
min_Arab,0.96
min_Arab,1.0
min_Arab,0.99
min_Arab,1.0
min_Arab,1.0
min_Arab,1.0
min_Arab,1.0
min_Arab,1.0
min_Arab,0.99
min_Arab,0.57
min_Arab,0.99
min_Arab,1.0
min_Arab,1.0
min_Arab,1.0
min_Arab,0.96
min_Arab,0.96
min_Arab,0.97
min_Arab,1.0
min_Arab,0.99
min_Arab,1.0
min_Arab,0.69
min_Arab,0.98
min_Arab,1.0
bjn_Arab,0.87
min_Arab,1.0
min_Arab,1.0
min_Arab,0.77
arq_Arab,0.35
ace_Arab,0.57
min_Arab,0.67
min_Arab,1.0
bjn_Arab,0.54
min_Arab,0.93
min_Arab,1.0
min_Arab,0.99
min_Arab,0.95
min_Arab,0.99
min_Arab,1.0
min_Arab,1.0
min_Arab,1.0
min_Arab,0.99
min_Arab,1.0
min_Arab,1.0
ace_Arab,0.46
min_Arab,1.0
min_Arab,1.0
min_Arab,1.0
min_Arab,1.0
min_Arab,1.0
min_Arab,1.0
min_Arab,1.0
min_Arab,1.0
min_Arab,1.0
min_Arab,0.9
min_Arab,0.88
min_Arab,0.99
min_Arab,1.0
min_Arab,1.0
min_Arab,1.0
min_Arab,1.0
min_Arab,1.0
min_Arab,1.0
min_Arab,1.0
min_Arab,1.0
min_Arab,1.0
min_Arab,1.0
min_Arab,1.0
min_Arab,0.99
min_Arab,1.0
min_Arab,1.0
min_Arab,1.0
min_Arab,1.0
min_Arab,0.65
min_Arab,0.99
min_Arab,1.0
min_Arab,1.0
min_Arab,1.0
min_Arab,0.66
min_Arab,1.0
min_Arab,0.97
min_Arab,0.99
min_Arab,1.0
min_Arab,0.87
min_Arab,1.0
min_Arab,1.0
zsm_Arab,0.57
min_Arab,1.0
zsm_Arab,0.62
min_Arab,0.91
min_Arab,1.0
min_Arab,1.0
min_Arab,0.99
min_Arab,1.0
min_Arab,1.0
min_Arab,1.0
min_Arab,0.99
min_Arab,1.0
min_Arab,1.0
min_Arab,0.94
min_Arab,1.0
min_Arab,1.0
min_Arab,0.99
min_Arab,1.0
min_Arab,1.0
min_Arab,0.97
arz_Arab,0.49
min_Arab,0.99
min_Arab,1.0
min_Arab,1.0
min_Arab,1.0
min_Arab,1.0
min_Arab,1.0
min_Arab,1.0
min_Arab,0.98
min_Arab,0.98
min_Arab,1.0
min_Arab,0.98
min_Arab,1.0
min_Arab,0.72
min_Arab,0.98
min_Arab,0.97
min_Arab,1.0
min_Arab,1.0
min_Arab,1.0
min_Arab,0.88
min_Arab,1.0
min_Arab,1.0
min_Arab,0.99
min_Arab,0.96
min_Arab,1.0
