question,gemini_answer
فرانس کے ووٹنگ کے عمل کا حصہ مندرجہ ذیل میں سے کون سا نہیں ہے؟,4
رائے دہندگان اپنے منتخب کردہ امیدوار کی ہی نشاندہی کہاں کرتے ہیں؟,2
ایلن کو موساشی کی آٹھ سالہ تلاش شروع کرنے پر کس چیز نے مجبور کیا؟,4
اقتباس کے مطابق، ایلن نے اپنی رقم کا ایک اہم حصہ کس چیز پر خرچ کیا؟,2
اس پیسیج کے مطابق، مندرجہ ذیل میں سے پلانٹ کے اندر اور اس کے اطراف میں خطرناک حالات کا ممکنہ طور پر کیا سبب بنا؟,1
پلانٹ میں پیش آنے والے واقعے کے بعد مقامی رہائشیوں کو تجویز کردہ حفاظتی تجاویز میں سے کیا نہیں ہے؟,3
XDR-TB کے بارے میں سب سے زیادہ تشویش ڈاکٹر مول کے مطابق کیا ہے؟,4
نئی قسم سے متاثر ہونے والے کتنے ہی مریضوں کے ہیلتھ کیئر ورکرز ہونے کی تصدیق کی گئی؟,2
نیکسٹ جین سسٹم کس قسم کی ٹیکنالوجی استعمال کرتا ہے؟,1
نیکسٹ جین براہ راست ایئر ٹریفک کنٹرولرز کو کس طرح فائدہ پہنچاتا ہے؟,2
اقتباس کے مطابق، تاریخ دانوں نے FBI پر توجہ مرکوز کرنے پر کس چیز پر تنقید نہیں کی؟,3
فحاشی کا یہ اقدام FBI کو کیا کرنے پر مجبور کرتا ہے؟,4
JAS 39C گریپن کے حادثے کا جواب دینے والی فائر گاڑی کا کیا ہوا؟ ,2
JAS 39C گریپن کے حادثے کے بعد، ہوائی اڈے کو کس کے لئے بند کر دیا گیا تھا؟,1
ایرانی انقلاب کے دوران بریزیزنسکی نے کس کو رہنمائی فراہم کی؟,3
1977ء تک قومی سلامتی کے ہییر کے عہدے پر کون فائز رہا؟,2
مندرجہ ذیل میں سے کون سا پارٹیزان بلغراد کے ساتھ ہی بوبیک کے کیریئر کی صحیح عکاسی نہیں کرتا ہے؟,1
پارٹیزن بیلگریڈ کے ساتھ بوبیک کی تاریخ کے بارے میں کون سا بیان درست ہے؟,1
اقتباس کے مطابق، کون سی خصوصیت ہیسپرونیچس کو ویلوسیریپٹر سے الگ کرتی ہے؟,2
’’ہیسپرونیچس‘‘ کا مطلب انواع کی کس جسمانی خصوصیت سے اخذ کیا گیا ہے؟,1
فائرنگ کے بارے میں درج ذیل میں سے کون سا بیان درست ہے؟,4
جس واقعہ میں شوٹنگ ہوئی اس کے بارے میں کون سا بیان صحیح ہے؟,1
اقتباس کے مطابق، لونو کے بارے میں حکام میں ابتدائی تشویش کیا تھی؟,1
اس پیسیج کے مطابق، Lunoکے ٹھپ ہونے کے بارے میں درج ذیل میں سے کون سا بیان درست نہیں ہے؟,2
الجیریا نے کس دہائی میں خود مختاری حاصل کی تھی؟,3
جنازے کی تقریب کے لئے ٹیلی ویژن کی اسکرینز کہاں نہیں لگائی گئیں؟,4
تدفین کی تقریب کہاں ہی منعقد ہوئی؟,3
دھماکے کے بعد شدید زخمی ہونے والوں کا علاج کسے کیا گیا؟,2
گیس لیکج کی اطلاع کس نے دی؟,1
اقتباس کے مطابق، اس حملے میں کتنے افراد ہلاک ہوئے؟,2
