question,gemini_answer
"Ngekusho kwendzima, yini lebeyingeke itsatfwe njenge thiphu lekungiyo yekudlala ngemphumelelo inkositini?",1
"Uma udlala inkositini, ngukuphi lokutawusita kukhulisa Ivolomu?",1
Kungani titfombe letikumabonakudze tijube imincele yato?,2
"Ngekusho kwendzima, ngutiphi tinkinga kuleti letilandzelako umuntfu langahle ahlangabetane nato uma agucula ibhayisikobho ibe ifomethi ye-DVD?",2
Belikuphi libutfo lemasotja aseBhrithani?,3
Kwabani lokusayina lokuvele kulokusalungiswa lokubhalwe ngesandla?,4
"Kuletindzawo letilandzelako, kukuphi lapho i-Dunlap broadside yafika khona ekugcineni?",3
Bewahlala kuphi emasotja a-Colonel Stark?,1
"Ngekusho kwendzima, emadvodza aStark alule dalada wawo?",3
"Ngekusho kwendzima, ngikuphi kwalokungulokunye kwetikhatsi teludlame kakhulu eChina?",4
"Ngekusho kwendzima, liyini liciniso ngemasotja etintfutfwane letingena esigabeni sekuzulazula?",1
"Ngekusho kwendzima, ngusiphi sitatimende lesikhombisa ngalokungiko imikhuba yekuhlala kwemasotja etintfutfwane phakatsi nesigaba sekutilula?",3
Ngikuphi lokulandzelako lokutochubeka nangetulu kwekubakhona kwetimphawu tangaphandle?,3
Nguliphi ligama lelichaza bantfu labakhombisa kuhluka kwesici lesitsite se-phenotypic?,4
Nguliphi ligama lelifanele kulawa lalandzelako etintfo letiphilako letihlala endzaweni letsite?,2
Ngikuphi kulokulandzelako lokungeke kube sibonelo semsebenti wekuvakasha losuselwe tikwendalo?,4
"Ngekusho kwendzima, ngikuphi kulokulandzelako lokusisekelo sendlela yekusebenta yetekutfutsa?",1
Tincenye letitungeleta i-nucleus tinaluphi luhlobo lekushaja?,3
I-nucleus yakhiwe ngutiphi tincenye?,1
"Ngekusho kwendzima, ngikuphi kulokulandzelako lokusibonelo senombolo yanombolombili lemihlanu?",3
Tinombolo tanombolombili tiphindze tibitwe ngekutsi tiyini?,1
Ngikuphi lokulandzelako lokungakashiwo endzimeni njengenzuzo leyiyinhloko yeku-bhuloga bafundzi?,1
Ngutiphi kuletincenye letilandzelako tekubhuloga letibalulwe njengetikhutsati kubafundzi kutsi batfutfukise emakhono abo ekubhala?,2
Ngikuphi kulokulandzelako lokungasiyo inzuzo yekuchumana lokungavumelani kwebafundzi? ,2
"Ngekusho kwalendzima, nguyiphi kuletincenye letilandzelako tekuchumana lokungafaki sikhatsi kwebafundzi lokungavumelana netimo?",1
