question,gemini_answer
Kapan Raja Tutankhamun mendapatkan ketenaran?,3
Apa yang membuat Tutankhamun terkenal sebagai raja Mesir?,1
"Apa yang tidak dapat dilakukan pujangga Yunani, Homer?",2
Manakah orang Yunani berikut yang dikenal bukan terkait kesusasteraan?,3
Di manakah keluarga Ibrani menghabiskan waktunya?,1
Hal apa yang tidak terlalu penting untuk keluarga Ibrani?,3
Manakah dari hal berikut yang tidak mendeskripsikan perbedaan negara-negara Skandinavia?,2
Siapa yang pertama kali menghuni Greenland?,1
Grup manakah yang lebih suka makan tanpa kursi?,3
Manakah dari hal berikut yang bukan bagian dari pesta Romawi Kuno?,4
"Menurut kutipan tersebut, manakah dari hal berikut yang tidak memberikan dampak jangka panjang?",2
"Menurut kutipan tersebut, apa yang mendahului negara?",3
Manakah pernyataan tentang Drukgyal Dzong yang tidak benar?,1
Pernyataan manakah yang mendeskripsikan dengan benar akibat kebakaran di Drukgyal Dzong?,1
Manakah pernyataan berikut yang benar tentang Kamboja?,4
Manakah dari pernyataan berikut yang mendeskripsikan invasi Kamboja dengan akurat?,4
Manakah dari hal berikut yang tidak dilakukan oleh Kompeni Hindia Belanda Timur saat mereka berada di Taiwan?,1
Apakah isi Perjanjian Shimonoseki?,4
Bagaimana cara mengukur tingkat pH bahan kimia?,3
Apa yang dilepaskan dari ion Hidrogen?,4
Manakah dari pernyataan berikut yang tidak mendeskripsikan kawanan singa dengan akurat?,3
Manakah pernyataan berikut yang tidak mendeskripsikan perilaku singa dengan akurat?,4
Jenis predator apa yang sama-sama memangsa kelinci?,3
Manakah dari hewan berikut yang diburu kucing kecil?,1
Manakah dari hal berikut yang bukan cara berburu oselot?,3
Manakah dari hal berikut yang tidak mendeskripsikan oselot dengan akurat? ,3
Manakah dari hal berikut yang bukan merupakan kekuatan utama harimau?,1
"Menurut kutipan tersebut, manakah dari hal berikut yang membedakan antara harimau dan singa?",2
"Menurut kutipan tersebut, apa yang dilakukan Robert Hooke sebelum ahli biologi lainnya?",1
"""Apakah arti dari asal kata """"sel""""?""",2
"Menurut kutipan tersebut, apakah hal yang paling banyak dapat dilakukan oleh sebagian besar hewan?",2
"Menurut kutipan tersebut, apa yang tidak dimiliki beberapa hewan?",3
Apa yang membantu tanaman dalam proses fotosintesis?,4
Apa yang manusia keluarkan dan tanaman hirup?,4
"Menurut kutipan tersebut, manakah dari contoh berikut yang menghalangi proses evolusi?",1
Yang mana dari pernyataan berikut yang tidak secara akurat menjelaskan proses spesiasi? ,1
Bagian mana dari sistem sirkulasi yang membawa darah menuju jantung?,4
Pembuluh mana yang paling kecil dalam sistem sirkulasi?,1
Kemampuan serangga untuk melipat sayapnya kembali meningkatkan apa dari hal berikut ini?,2
Manakah dari berikut ini yang tidak disebutkan dalam kutipan tersebut sebagai sesuatu yang terdampak dari kemampuan terbang serangga?,2
Manakah dari karakteristik berikut ini yang tidak umum diasosiasikan dengan dinosaurus?,2
Manakah dari berikut ini yang tidak umum dianggap sebagai karakteristik yang sama antara burung dan dinosaurus?,3
"Menurut kutipan tersebut, bagian mana dari tanaman palem sagu yang mungkin dimakan Triceratops?",2
"Menurut kutipan tersebut, manakah dari berikut ini yang paling mungkin dimakan Triceratops? ",2
"Menurut kutipan tersebut, manakah olah raga berikut yang mungkin paling populer di wilayah paling Utara Italia?",3
"Menurut informasi yang diberikan dalam kutipan tersebut, manakah dari olah raga berikut ini yang memberi gelar juara dunia untuk Italia?",1
Setelah kejadian apa beberapa bagian tertentu Luksemburg menjadi bagian Belgia?,2
Manakah dari berikut ini yang berdampak kepada kenetralan Luksemburg?,1
Berapa kilometer persegi total wilayah Turki yang berada di benua Eropa?,4
"Menurut kutipan tersebut, kira-kira berapa mil panjang wilayah Turki?",4
Apakah guna bahasa Latin di Vatikan?,1
"Di Vatikan, apakah guna bahasa Italia?",1
"Menurut kutipan tersebut, manakah dari keuntungan berikut ini dari pencampuran suara di komputer canggih?",1
"Menurut kutipan tersebut, mayoritas rumah di lokasi manakah yang memiliki toilet siram?",1
Manakah dari lokasi berikut ini yang ditemukan sistem pembuangan limbah yang canggih?,1
Manakah dari alasan berikut yang menyebabkan peseluncur berbelok?,1
"Menurut kutipan tersebut, manakah dari berikut ini yang dengan akurat menjelaskan rongga yang ada pada bilah papan di papan seluncur es modern?",3
"Menurut kutipan tersebut, proses apa yang mengizinkan atom mengeliminasi kelebihan energi dari cahaya?",4
Apa yang menyebabkan atom mengemisi foton?,2
"Menurut kutipan tersebut, apa yang akhirnya menyebabkan bohlam berhenti bekerja?",3
Manakah dari berikut ini yang berpotensi menjadi berbahaya untuk disentuh ketika mengganti bohlam?,3
"Menurut kutipan tersebut, apa yang terjadi ketika nukleus terbelah?",2
Manakah dari berikut ini yang merefleksikan panggilan jarak jauh kembali ke Bumi,2
Manakah yang digunakan untuk meletakkan teleskop di ruang angkasa?,2
Manakah yang harus diperhatikan perihal kejadian berulang untuk melacak berlalunya waktu?,2
"Menurut kutipan tersebut, aspek apa dari suatu kejadian ketika waktu digunakan untuk membandingkan?",1
"Menurut kutipan tersebut, manakah dari berikut ini yang dianggap umum untuk pewaris takhta?",2
"Menurut informasi yang diberikan dalam kutipan tersebut, Charles adalah yang pertama untuk melakukan apa?",3
