question,gemini_answer
"ඡේදයට අනුව, එකෝඩියනයක් සාර්ථකව වාදනය කිරීමේ නිවැරදි උපදෙසක් ලෙස නොසැලකෙන්නේ කුමක්ද?",1
එකෝඩියනයක් වාදනය කිරීමේදී පරිමාව වැඩි කරගැනීමට උපකාර වන්නේ පහත සඳහන් ඒවායින් කුමක්ද?,1
රූපාවාහිනියේ රූපවල පැති මායිම් කප්පාදු කර ඇත්තේ ඇයි?,2
"ඡේදයට අනුව, චිත්‍රපටියක් ඩීවීඩී ආකෘතියට පරිවර්තනය කරන විට පුද්ගලයෙකුට මුහුණ දීමට සිදු විය හැක්කේ පහත ප්‍රශ්නවලින් කවරකටද?",2
බ්‍රිතාන්‍ය හමුදා බලකොටුවක් පිහිටා තිබුණේ කොහේද?,3
අත්පිටපත් කෙටුම්පතේ තිබුණේ කාගේ අත්සනද?,4
ඩන්ලැප් බ්‍රෝඩ්සයිඩ් පිටපත් අවසන් වරට පැමිණියේ පහත කවර ස්ථානයටද?,3
කර්නල් ස්ටාර්ක්ගේ සෙබළු සිටියේ කොහේද?,1
ඡේදයට අනුව ස්ටාක්ගේ මිනිසුන් ඔවුන්ගේ මායිම් දිගු කළේ කිනම් විටද?,3
"ඡේදයට අනුව, චීනයේ දරුණුතම යුගයක් වූයේ පහත කිනම් යුගයද?",4
"ඡේදයට අනුව, සංචාරක අවධියට ඇතුල් වන හමුදා කුහුඹු කොලනිය සම්බන්ධව සත්‍ය වන්නේ කුමක් ද?",2
"ඡේදයට අනුව, සංචාරක අවධිය තුළ හමුදා කුහුඹු කොලනිවල ජනාවාස පිහිටුවීමේ පුරුදු නිවැරදිව පිළිබිඹු වන්නේ කුමන ප්‍රකාශයෙන්ද?",3
බාහිර ඉඟි පැවතියද පහත කුමක් අඛණ්ඩව පවතිනු ඇතිද?,2
විශේෂිත රූපානුදර්ශීය ගති ලක්ෂණයක විචල්‍යතාවයන් පෙන්වන පුද්ගලයන් විස්තර කරන්නේ කිනම් යෙදුමද?,4
යම් නිශ්චිත ප්‍රදේශයක් තුළ සිටින ජීවින් සඳහා වන නිවැරදි යෙදුම කුමක්ද?,2
සොබා දහම මත පදනම් සංචාරක ව්‍යාපාරයේ ක්‍රියාකාරකමක් සඳහා උදාහරණයක් නොවන්නේ පහත කුමක්ද?,3
"ඡේදයට අනුව, ප්‍රවාහන ක්‍රමයේ පදනම වන්නේ පහත දක්වා ඇති ඒවායින් කුමක් ද?",2
න්‍යෂ්ටිය වටා කක්ෂගත වන පදාර්ථයන්ට ඇත්තේ කුමන ආකාරයේ ආරෝපණයක් ද?,3
න්‍යෂ්ටිය සමන්විත වන්නේ කිනම් පදාර්ථවලින් ද?,1
"ඡේදයට අනුව, බිට් පහේ ද්විමය සංඛ්‍යාවකට උදාහරණයක් වන්නේ කුමක් ද?",3
ද්වීමය සංඛ්‍යාංක හඳුන්වන තවත් නමක් වන්නේ කුමක්ද?,1
සිසුන් විසින් බ්ලොග් ලිවීම මගින් ඇතිවන මූලික ප්‍රතිලාභයක් ලෙස ඡේදය තුළ සඳහන් නොවන්නේ පහත දක්වා ඇති කුමක් ද?,2
සිසුන්ට තම ලිවීමේ හැකියාව වැඩි දියුණු කරගැනිමට අභිප්‍රේරකයක් ලෙස දක්වා ඇත්තේ බ්ලොග් ලිවීමේ පහත සඳහන් අංගයන්ගෙන් කවරක් ද?,2
ඇසින්ක්‍රොනස් සන්නිවේදනයේ ශිෂ්‍යයන් සඳහා වන ප්‍රතිලාභයක් නොවන්නේ පහත කවරක් ද? ,2
"ඡේදයට අනුව, ශිෂ්‍යයන්ට නම්‍යශීලී නොවන්නේ ඇසින්ක්‍රොනස් සන්නිවේදනයේ පහත දක්වා ඇති කවර අංගය ද?",2
මධ්‍ය කාලීන මාලිගාවලදී යමෙකුට හමු වන දෙයක් ලෙස ඡේදයේ සඳහන් නොවන්නේ කුමක් ද?,4
මාළිගා නටබුන් අතර ගෙන හැර පාන ගන්ධයක් හෝ ශබ්දයක් ලෙස ඡේදය තුළ සඳහන් නොවන්නේ පහත කුමක් ද?,3
කර්බි මක්ස්ලෝ මාළිගය නිවැරදිව විස්තර කරන්නේ පහත ඒවායින් කුමක් ද?,2
ඡේදය තුළ විස්තර කර ඇති කාල පරිච්ඡේදය තුළ කර්බි මක්ස්ලෝ මාළිගයට ආවේණික නොවූ බවට සැලකිය හැක්කේ පහත කිනම් ඉදිකිරීම් ලක්ෂණයද?,2
"ඡේදයට අනුව, පැමිණෙන කාලය සඳහා සූදානම් වන දුවන්නෙකුට වඩාත්ම ප්‍රතිලාභී වන්නේ පහත ඒවායින් කවරක්ද?",4
"ඡේදයට අනුව, පළමු පන්තියේ සැතපුම් භාග දුවන්නෙකුට වඩාත්ම වැදගත් වන්නේ පහත දක්වා ඇති ඒවායින් කුමක් ද?",2
මළල ක්‍රීඩකයෙකුට පෝෂණ ක්‍රියා පිළිවෙත් වලින් පමණක් ලබාගත නොහැක්කේ පහත දක්වා ඇති ඒවායින් කවරක් ද?,3
තරුණ මළල ක්‍රීඩකයෙකුට තම ක්‍රීඩාව තුළ වැඩි තෘප්තියක් සොයා ගැනීමේ ආකාරයක් නොවන්නේ පහත ඒවායින් කවරක් ද?,2
"ඡේදයට අනුව, මැද දුර දුවන්නෙකු මිල අධික උපකරණ මිලදී ගනු ඇත්තේ කුමක් නිසා විය හැකි ද?",1
"ඡේදයට අනුව, මැද දුර දිවීම සඳහා අවශ්‍ය වන්නේ කුමක් ද?",3
න්‍යෂ්ඨික චුම්බක අනුනාද සොයා ගත්තේ කවුරුන් ද? ,3
වෛද්‍ය රූපකරණ අනුනාද සඳහා පළමු පේටන්ට් බලපත්‍රය ප්‍රදානය කරනු ලැබුවේ කිනම් වසරේද? ,2
"ඡේදයට අනුව, අන් අයගේ භෞතික ක්‍රියාවන් අර්ථ නිරූපණය කරගැනීම සඳහා මිනිසුන්ට ප්‍රබල අවබෝධයක් තිබිය යුතු වන්නේ කවරක් පිළිබඳවද?",3
ඡේදයට අනුව අදහස් තේරුම් ගැනීම මිනිසාට කුමක් කිරීමට උපකාරී වේද?,1
"ඡේදයට අනුව, කෘතිම බුද්ධියේ ප්‍රධාන අරමුණ පිළිබඳව වන නිවැරදි සාරාංශයක් වන්නේ පහත ඒවායින් කවරක්ද?",4
